word,count
검찰 총장,165
파일 논란,81
센터 소장,57
파일 입수,56
정치 공작,55
장성철 공감,53
정책 센터,52
정치 평론가,48
논쟁 정책,45
방어 어렵다,40
야권 인사,36
다음 뉴스,35
장성철 윤석열,34
불법 사찰,33
관련 의혹,33
대선 주자,28
처 장모,28
인사 윤석열,27
네이버 뉴스,27
보수 진영,26
장 소장,24
검찰 개혁,24
무척 힘들다,23
공작 정치,22
야권 유력,21
출마 선언,21
대선 후보,21
유력 대선,20
진영 정치,20
파일 공개,20
입수 방어,19
대변인 사퇴,19
서울 연합뉴스,18
트윗 인용,18
국민 선택,16
법무부 장관,15
유 튜버,15
파일 의혹,15
입수 윤,14
총장 명분,14
대권 주자,14
뉴스 브리핑,14
윤석열 파일,13
파일 출처,13
최고 위원,13
이준석 윤석열,13
대권 도전,12
공 수처,12
장성철 소장,12
기자 보수,12
경선 연기,12
이재명 경기,12
류미나 기자,12
경기 지사,12
연합뉴스 류미나,12
대선 출마,12
파일 언급,12
평론가 장성철,12
기자 윤석열,11
일찍 포기,11
전언 정치,11
정면 돌파,11
조국 의혹,11
조국 장관,11
총장 관련,11
문건 파기,10
유력 대권,10
파일 폭풍전야,10
돌연 사퇴,10
이재명 윤석열,10
인사 문건,10
추미애 꿩,10
윤석열 잡다,10
서울 뉴스,10
민주당 대표,10
연합뉴스 서울,9
윤 총장,9
파일 사찰,9
정권 교체,9
이동훈 대변인,9
송영길 대표,9
파일 윤석열,9
안철수 윤석열,9
사찰 공작,9
출발 새아침,9
최재형 감사원장,8
이동훈 사퇴,8
친문 유,8
출새 추미애,8
고심 끝,8
이상록 대변인,8
황 출새,8
각종 의혹,8
민주당 대선,8
예장 공원,8
당 대표,8
남산 예장,8
뉴스 윤석열,8
서울 중구,8
송영길 윤석열,8
기 레기,7
서울 뉴시스,7
머니 투데이,7
상태 검찰,7
윤석열 윤석열,7
정치 선언,7
기자 장성철,7
파일 작성자,7
주가 조작,7
중구 남산,7
논쟁 센터,7
출처 윤석열,7
집권당 개입,7
장관 대담,7
페이스북 포스팅,7
선택 정책,7
파일 실체,7
파일 대응,7
송영길 더불다,7
이준석 대표,7
장모 의혹,7
개혁 언급,7
민주당 경선,6
방송 일시,6
당 소속,6
뉴스 정진용,6
개혁 사법,6
목요일 진행,6
메시지 혼선,6
쿠키 뉴스,6
단독 윤석열,6
출연자 추미애,6
독립운동가 우당,6
개혁 언론,6
정치 신호탄,6
힘 입당,6
진행 황보선,6
우당 이회영,6
언론 개혁,6
후 지지,6
김재원 송영길,6
심각 윤석열,6
이회영 선생,6
기자 이재명,6
입수 경위,6
기자 야권,6
선생 기념관,6
후원 계좌,6
적극 응원,6
새아침 방송,6
정진용 기자,6
사법 개혁,6
황보선 앵커,6
앵커 출연자,6
파일 이명박,5
힘 이준석,5
현용 문,5
가족 관련,5
파일 요약,5
투데이 네이버,5
출처 머니,5
조작 사건,5
전수 조사,5
이날 오전,5
연루 의혹,5
부동산 전수,5
배우 김부선,5
뉴시스 윤석열,5
뉴스 썰다,5
김재원 국민,5
기념관 개관식,5
과 관련,5
계좌 기업,5
힘 최고,5
