before	after
네용	네요
겜성	감성
갬성	감성
가차	가챠
안녕하세요	NA
팅기	튕기
안대	안되
힘듬	힘듦
굳굳	굿굿
튕기  팅기
튕깁니다	팅기네요
팅깁니다	팅기네요
않되	안되
에드온	애드온
인대	인데
꾸르	꿀
꿀재미	꿀잼
즐게임	즐겜
업뎃	업데이트
업댓	업데이트
업데이트	업데이트 
겜	게임
개임	게임
갓게임	갓겜
재밍ㅆ	재미있
잼나	재미나
재미나	재미 나
잼잇	재미있
재미다	재미있다
재미써	재미있어
제미	재미
재미습	재밌습
재밋	재밌
재미 지	재미지
재미 없	재미없
재미잇	재미있
재미있	재미 있
갰	겠
바야	봐야
바요	봐요
어쩌고	어쩌구
저쩌고	저쩌구
따구	따위
그래비티	그라비티
고처	고쳐
않돼	안되
조아	좋아
업대	업데
무튼	아무튼
귀찬	귀찮
바라지도	바라지
래이	레이
어용	어요
래용	래요
네영	네요
잼따	재밌다
쓰래기	쓰레기
머가리	대가리
귀찬	귀찮
믿거	믿고 거르는
업대이트	업데이트
가타요	같아요
편허	편하
ㅇㅈ	인정
ㄱㅅ	감사
립니당	립니다
케릭	캐릭
캐릭 	캐릭터 
캐릭	캐릭터
터터	터
재미남	재미나다
세록	새록
미어	밌어
네이버 뮤직	네이버뮤직
마니	많이
성만	성 만
잘이용	잘 이용
잘사용	잘 사용
컨탠츠	컨텐츠
이용권	 이용권 
캐쥬얼	캐주얼
점핑이벤트	점핑 이벤트
테블릿	태블릿
유투버	유튜버
플레이 스토어	플레이스토어
앱 스토어	앱스토어
빌리 아일리시	빌리아일리시
아리아나 그란데	아리아나그란데
멤버쉽	멤버십
고객 센터	고객센터
스밍	스트리밍
맘에	마음에
리버서블	리버시블
문의 답변	문의답변
할만	할 만
데스티니 	데스티니
유져	유저
과금유	과금 유
u00	 
유투브	유튜브
