word,count
조국 장관,243
추미애 장관,151
검찰 개혁,142
언론 개혁,121
이재명 지사,114
재난 지원금,113
대선 후보,110
임은정 검사,98
추 장관,97
국전 장관,96
조 국전,85
윤도리 도리,81
검찰 총장,79
대선 출마,77
윤봉길 의사,73
기재 부,70
추 다르크,68
대통령 후보,67
문 대통령,64
추미애 후보,59
정신 차리다,53
손해 배상,52
추장 군,52
추미 애,51
출마 선언,50
항상 응원,49
조국 가족,49
민주당 의원,45
조국 교수,44
노무현 대통령,43
민주 진영,43
박 지희,41
선별 지급,40
차기 대통령,40
김 엄마,39
추미애 대통령,38
유 튜버,35
기자 회견,35
기 레기,35
최순 실,34
필요 없다,33
대통령 출마,33
경선 연기,33
이선옥 작가,33
공 수처,32
문재인 정부,32
국민 재난,32
다스 뵈이다,30
김어준 총수,30
보편 지급,30
당 대표,30
촛불 시민,28
사모 펀드,27
도리도리 윤,27
이탄희 의원,27
쥴리 쥴리,26
태극기 부대,26
김 총수,25
남자 박근혜,25
대권 도전,25
민주 시민,25
탈탈 털다,25
민주당 대선,25
여론 조사,25
보궐 선거,25
정권 교체,25
이재명 추미애,24
대권 주자,24
추미애 화이팅,24
조선일보 폐간,24
추미애 대표,23
민주당 지지자,23
법무부 장관,23
추미 애전,22
줄리 줄리,22
대권 후보,22
이재명 대통령,21
뉴스 공장,21
다음 대선,21
도리도리 도리도리,21
대선 주자,21
늘 응원,20
박범계 장관,20
윤봉길 기념관,20
구속 수사,20
대한민국 국민,20
선별 지원,19
깨 시민,19
도리도리 잼,19
적극 지지,19
홍 발정,19
거대 여당,19
청년 비서관,18
재난 지원,18
참 한심,18
서울 시장,18
정권 연장,18
진보 진영,18
민주당 수박,18
도시 투기,18
국가 유가족,17
이명 박근혜,17
정무 수석,17
극 우유,17
하나님 계시,17
광명 뉴타운,17
정대 택,17
신유진 변호사,17
다음 대통령,16
다음 총선,16
사법 개혁,16
민주당 후보,16
주가 조작,16
고소 고발,16
우파 삼촌,16
우유 튜버,16
카드 사,16
법무 장관,15
민주당 지지,15
정치 검사,15
항상 감사,15
알리 미,15
가짜 뉴스,15
애전 장관,15
최민희 의원,15
인사 참사,15
전수 조사,15
출입국 기록,15
민주당 지도부,14
민주당 정신,14
경심 교수,14
국민 청원,14
민주당 경선,13
윤석열 최재형,13
다스 뵈,13
김대중 대통령,13
이재정 의원,13
지희 아나운서,13
장관 가족,13
박성민 비서관,13
펀드 무죄,13
이준석 대표,13
김용민 피디,13
꼭 대통령,13
김성회 대변인,13
이재명 지지,12
수고 많다,12
개혁 법,12
제발 정신,12
대한민국 대통령,12
녹 취록,12
공무원 시험,12
이재명 후보,12
박 그네,12
부산 시장,12
정서 불안,12
경제 대통령,12
부장 검사,12
정말 좋다,12
박사 학위,12
고생 많다,11
공공 주택,11
조작 사건,11
광고 요정,11
청년 남성,11
전화 번호,11
최고 위원,11
지역 화폐,11
항상 지지,11
꼭 필요,11
차 차기,11
코드 인사,11
내부 총질,11
언제나 응원,11
구독 좋다,11
추미애 대선,11
토착 왜구,11
이준 잣대,11
이낙연 대표,11
의사 기념관,11
개인 정보,11
홍남기 대통령,11
조 장관,11
조국 대통령,11
개혁 언론,11
범죄 집단,11
명예 회복,11
면접 관,11
머리 흔드다,11
윤석열 같다,10
서기호 판사,10
자격 없다,10
서기호 변호사,10
차기 대선,10
윤석열 대통령,10
대통령 만들다,10
촛불 정신,10
미 황희두,10
여성 대통령,10
왜 민주당,10
대권 출마,10
이동형 작가,10
추 대표,10
쿠 테타,10
파평 윤,10
병역 특례,10
배상 법,10
조국 일가,10
국민 차별,10
문재인 정권,10
인사 실패,10
쥐 박이,10
뇌 구조,10
친일 매국,10
홍 주사,10
추미애 이재명,10
하나님 이름,10
주택 공급,10
탕평 인사,10
알리 미황,10
민주당 국회의원,10
아주 좋다,9
윤근 혜,9
이낙연 정세균,9
홍준표 의원,9
함량 미달,9
가장 민주당,9
검찰 언론,9
개혁 법안,9
중서 민용,9
조중동 폐간,9
검찰 공화국,9
지원금 지급,9
정권 잡다,9
삼풍 백화점,9
전쟁 선포,9
얼마나 많다,9
인간 차별,9
윤석열 가족,9
전국 민재,9
선 일보,9
보수 언론,9
민주 진보,9
미애 누님,9
나라 망신,9
카드 포인트,9
촛불 혁명,9
못 차리다,9
기성 세대,9
다음 정권,9
민주주의 국가,9
꼭 승리,9
르네상스 호텔,9
독재 정권,9
적극 응원,9
미황 희두,9
민용 요충지,9
피아노 연주,9
이재명 도지사,8
언론 검찰,8
기 획단,8
문 준용,8
공정 정의,8
민주 국가,8
민주 세력,8
다음 선거,8
문 대통,8
조전 장관,8
코로나 방역,8
무죄 확정,8
여성 징병제,8
정세현 장관,8
추미애 지지,8
윤 춘장,8
대한민국 검찰,8
도국 짐,8
국민 지급,8
추미애 응원,8
조국 사태,8
말씀 듣다,8
하나님 팔다,8
조국 추미애,8
금융 치료,8
대선 경선,8
정말 한심,8
정말 궁금,8
역대 급,8
고일석 기자,8
반드시 정의,8
진보 유,8
민주주의 정부,8
책 제목,8
최강욱 대표,8
민주당 찍다,8
적폐 언론,8
경제 부총리,8
노숙 자양,8
부동산 투기,8
박진영 교수,8
뉴타운 법강,8
정권 창출,8
송영길 대표,8
최성 혜,8
나라 대통령,8
불로 소득,8
차별 경기도,8
시대 노숙,8
캐쉬 백,8
트 체크,8
부동산 전수,8
정보 감사,7
꼭 처벌,7
트 픽션,7
그렇게 살다,7
표창장 위조,7
장용진 기자,7
김혁규 경남,7
김태현 기자,7
대통령 나오다,7
재명 지사,7
재산 신고,7
대통령 병,7
은국 짐,7
이낙연 후보,7
자격 미달,7
이광재 의원,7
홍준표 화이팅,7
대통령 영부인,7
가족사 기단,7
능력 없다,7
김구 선생,7
늘 감사,7
이철희 정무,7
뉴스 버스,7
황희두 화이팅,7
낙 연이,7
정말 이해,7
절대 대통령,7
나라 말아먹다,7
급 비서관,7
팩션 팩,7
정무 감각,7
대다수 국민,7
추미애 최고,7
요충지 쾌,7
시대 정신,7
실력 없다,7
함께 많다,7
박지 희다,7
박사 논문,7
주제 파악,7
주택 거짓,7
참 답답,7
민주 정부,7
거짓 자체,7
역사 의식,7
지원금 선별,7
민주당 국,7
최배근 교수,7
거짓 조작,7
바로 방송,7
최강욱 의원,7
형성 과정,7
거대 범죄,7
민주당 지지율,7
연기 주장,7
방송 시청,7
초선 오적,7
추미애 장군,7
국민 지원,7
정치 자금,7
연립 주택,7
보수 따지다,7
몸 사리다,7
병역 비리,7
왜 대통령,7
반 페미,7
조국정 경심,7
오마이 쥴리,7
창녕군 청,7
절대 용서,6
차기 대권,6
차기 정권,6
총장 감사원장,6
촛불 국민,6
후보 경선,6
적폐 세력,6
적폐 청산,6
정치 공작,6
헤어 스타일,6
홍 남기다,6
홍남기 해임,6
홍남기 부총리,6
정세균 이광재,6
하나님 팔,6
초등 학교,6
추 대통령,6
조국 펀드,6
