,neg_words,count,documents
0,미루다,129,"['경선 연기 결정 미룬 송영길호 대선 계획표 짜 보고 25일 결론', '이낙연 지지 신복지세종포럼 출범 세종의사당 더는 미룰 수 없어', '경선 연기 놓고 쪼개진 민주 또 결론 못 내고 25일로 미뤘다']"
1,비판,87,"['민주당 문재인 대통령 g7 기사 적다며 언론 때리기.국기 구별 못 하고 예방률 50 안 되는 백신 면담 보도해 달라는 건가? 너무한 것 아닌가 라고 비판하기 전.', '정웅교의 정치분석 이준석 대표 국민호응도 높지만 미숙한 리더십과 정치평론가적 비판 발언으로 윤석열 전 총장 1차 위기 초래', '민주당 대학생위원장 경선 연기 비판 또 약속 깨면 누가 당 신뢰 하나']"
2,떨어지다,67,"['사 사건건 김형준 한여름에 관심 떨어지는 경선에서 승리하면 실리 있을까 이택수 민주당 국민의힘에 지지율 역전. 9월 경선은 흥행 못할 수도', 'x파일 때문에? 윤석열 떨어지고 최재형 떴다첫 5위 진입', '이재명 경선 연기 외려 내게 유리하지만 당 신뢰는 떨어져']"
3,어렵다,65,"['원탑 빼고 진짜 고르기 어려워조국 서울대 부끄러운 동문 압도적 1위', '경선 연기 불가 가닥 대선 주자들 동의 없으면 변경 어려워', '윤석열 x파일 폭로한 장성철 없앨 것.방어 어렵다 판단']"
4,위기,56,"['정웅교의 정치분석 이준석 대표 국민호응도 높지만 미숙한 리더십과 정치평론가적 비판 발언으로 윤석열 전 총장 1차 위기 초래', 'x파일 위기 윤석열 헌법소원 낸 검사징계법 각하.대권 지지율 어떤 영향?', '양승조 충남도지사 위기 속 대한민국 미래를 말하다 출판기념회 개최']"
5,승리,47,"['사 사건건 김형준 한여름에 관심 떨어지는 경선에서 승리하면 실리 있을까 이택수 민주당 국민의힘에 지지율 역전. 9월 경선은 흥행 못할 수도', '대구 찾은 정세균 경선 연기 재차 강조 승리 고민한다면 늦더라도 제대로 해야', '송영길 6.25 71주년인 내일 민주당 대선 승리 첫 단추 채워질 것']"
6,분노,43,"['이낙연 성매매 기사에 조국 부녀 이미지 쓴 조선일보 만행에 분노', '성매매 기사에 조국 부녀 그림 쓴 조선일보에 분노 수치 느낀다', '분노한 정성호 민생 심각한데 경선 연기 연판장 돌려참담하다']"
7,재난,40,"['핫이슈 키워드 5차 재난지원금 윤석열 x 파일 이재명계 vs 반이재명계 경쟁률 14 1 대 1 이상직 국회의원 수당', '브리핑 충남 양승조 충남지사 재난지원금 전국민에 주려면 격려금이라고 해야', '기본소득 코로나발 재난지원금에 탄력농민 농촌 대상 검증 신호탄']"
8,부정,38,"['더불어민주당 대선 경선 연기하나. 격론 끝에 25일 결론 의원총회에서 비이재명계 경선 연기 요구 이어졌지만 송영길 대표 상당한 사유 있나 부정적 의견', '최강시사 홍익표 최재형 감사원장 특정정당 대선후보로 간다면 그간 감사원장 역할정치중립성 스스로 부정하는 것', '뉴스핌 여론조사 문대통령 지지율 38.3.40대 호남 빼고 부정적 여론 높아']"
9,부끄럽다,38,"['조국 서울대 출신 부끄러운 동문 투표서 3년 연속 1위2위 유시민 3위 박주민', '원탑 빼고 진짜 고르기 어려워조국 서울대 부끄러운 동문 압도적 1위', '조국 서울대인이 뽑은 부끄러운 동문 1위유시민 박주민 오거돈 뒤이어']"
10,훼손,31,"['잠룡 정면 충돌.이재명이 통 큰 양보해야vs신뢰 훼손은 소탐대실', '경선연기 두고 격돌 통큰 결단 vs 원칙훼손 송영길의 결론은?', '통큰 결단 해야 vs 원칙 훼손 안 돼 경선 연기 두쪽 난']"
11,부상,27,"['x파일 논란 최재형 부상에 윤석열 지지율 주춤보수표심 이탈', '여야 대선후보 5위 오른 최재형제2의 윤석열로 부상하나', '경선 연기 갈등에 영영 갈라설라 제3의 대안 부상']"
12,의회,26,"['대전시의회 k바이오 랩허브 공모 수도권 제외해야', '일부 세종시의원 특정 대권 주자에 노골적 줄서기 18일 각각 노 의원을 비난하는 내용의 성명을 발표했다. 그런가 하면 세종시의회 손인수 의원은 민주당 대권 주자 가운데 한 명인 이낙연 전 대표의 세종지역 지지자 모임인 내 삶을 지켜주는 나라 신복지 세종포럼의 사무총장을 맡았다. 한편 지난 2018년 7', '한국농업경영인 한국여성농업인 전남연합회이낙연 더불어민주당 대표 지지 선언 강도용 이하 한농연와 한국여성농업인 전라남도 연합회 회장 김향숙 이하 한여농는 21일 오후 5시 전라남도의회 정문 앞에서 이낙연 더불어민주당 전 대표의 대통령 후보 지지 선언을 했다.이날 지지선언은 각 연합회의 22개 시 군 대표들과 임원 100여명이 참석']"
13,가짜,24,"['정세균 이낙연 이광재 비 이재명계 시동 통큰 양보하길 여긴 가짜약 아닌 진짜약', '가짜약 팔 텐가 vs 정권재창출 우선경선 연기 여부 두고 파열', '이광재 이재명 통큰 양보하면 좋겠다여긴 가짜 약 아닌 진짜 약']"
