word,count
마음의 빚,20
사진의 추억,16
토착 왜구 박멸,13
왜구 박멸 소탕,13
호의 호의,10
병원에 전화,9
이낙연의 약속,8
만일의 썸머,7
잔여 백신 접종,7
여권 대선 주자,6
쾌유를 기원,6
전화로 예약,6
잔여 백신 예약,6
국민의 힘,6
잔여 백신 맞다,5
백신이 없다,5
조국에 마음,5
시노 팜 맞다,5
유체 이탈 화법,5
쾌유를 빕,5
부분이 조국,4
토착 왜구 척결,4
조국의 시련,4
존 나조 쿤,4
소머리 국밥 아빠,4
조국 추미애 탓,4
이재명 경기도지사 부부,4
이명박 정부 시대,4
이낙연 페북 업데이트,4
기 레기 새끼,4
김대중 노무현 문재인,4
민주당 대권 주자,4
베이 킹 소다,4
상하 이외 노자,4
증상이 없다,4
가슴이 아프다,4
최경영의 최강,4
역사의 고갯길,4
찬스를 이용,4
차기 대선 후보,3
터치 시부 레거,3
백신 접종 후,3
전화로 대기,3
계양 명가 부대찌개,3
수사로 조국,3
촛불 대신 책,3
힘 당 대표,3
이재명 경기 지사,3
촛불 시민 개혁,3
백신을 맞다,3
병원으로 등록,3
조국에게 마음,3
조국이 죄,3
국민의 짐,3
조국 탓 추미애,3
보헤미안 랍 스터,3
기반을 놓다,3
장관 일가 사건,3
잘못을 지적,3
힘을 바치다,3
남의 나라,3
강제 노역 사건,3
글이 올라오다,3
강제 노역 피해자,3
쥐 닭 시절,3
조합이 좋다,3
탓 추미애 탓,3
오전에 맞다,3
인생의 길,3
이준석의 반,3
제도의 잘못,3
궁금 궁금 궁금,3
조국 가족 상처,3
장관의 회고록,3
미지의 세계,3
장관이 등장,3
조국 수사 이례,3
시민과 더불다,3
개혁의 적임자,3
대선 후보 적합,3
세모 네모 요모조모,3
질병 관리 청,3
노동 소득 분배,3
조국 검찰 개혁,3
가족의 피,3
입시 제도 자체,3
이낙연 조국 검찰,3
이낙연 조국 비판,3
특정 계층 학생,3
이낙연 조국 수사,3
시대에 도입,3
법무부 장관 일가,3
최강 시사 인터뷰,3
한국 정부 정책,3
가족이 수감,3
개혁의 완성,3
삶의 궤적,3
국 짐 지지,2
윤석열 저격 잊다,2
여권 주요 인사,2
밑에 부작용,2
종업원을 의심,2
포럼 창립 총회,2
바람을 타다,2
여권의 대권,2
구축 달 화성,2
인턴 입시 자체,2
대형 마트 제품,2
여론 조사 기관,2
바이오 헬스 드론,2
박멸 소탕 먹이,2
상황이 종료,2
색깔이 없다,2
좃 선 일보,2
대학 입시 제도,2
전남 포럼 창립,2
여권 대권 주자,2
조폭처럼 가혹,2
조국 우회 비판,2
양념 듬뿍 쌈장,2
곱 하스 익,2
성분의 약,2
성장 강조 노동,2
민주 진영 지지자,2
고인의 명복,2
약국에 물다,2
고기 요정 사랑,2
제시 반도체 미래,2
앤 장 일제,2
뒷말이 무성,2
미쓰 비시 중공업,2
계층의 학생,2
세이렌의 노래,2
드론 디지털 벤처,2
미래 차 바이오,2
항체를 만드다,2
디지털 벤처 일자리,2
경제 비전 계승,2
작성자 보레 누스,2
설명이 필요,2
동네 미대 누나,2
조국 장관 일가,2
일요일 휴무 정책,2
서비스 직 전환,2
교육을 중시,2
조직의 대처,2
교사 아내 강남,2
일본을 식민지,2
서울 중앙지 검,2
관심이 없다,2
민주당의 전통,2
도주의 우려,2
언성이 높다,2
곳의 법률,2
독감 백신 접종,2
일제 강제 노역,2
연 옌 자식,2
조국에게 빚,2
선거에서 참패,2
조국에 가슴,2
민주당에서 대선,2
동네 내과 의원,2
민주당 초선 수박,2
언급이 없다,2
오너 리스크 해방,2
대표 지지 모임,2
니베아 립 밤,2
이낙연 국격 걸맞다,2
원인으로 조국,2
누더기로 만들다,2
이낙연 부모 찬스,2
베 카레 풀,2
부프로 펜,2
출간에 이낙연,2
운명의 삶,2
법의 이름,2
법을 누더기,2
추미애 뻥긋 않다,2
이낙연 전남 지사,2
이낙연 회고록 출간,2
다음 날 하루,2
지하 혁명 조직,2
이낙연의 윤석열,2
지지 모임 출범식,2
요금 폭탄 방지,2
기업 처벌 법,2
비선 실세 남편,2
이낙연 검찰 조국,2
부부 피카소 특별,2
국민 재난 지원금,2
본연의 역할,2
윤석열 왜 숨다,2
윤석열에 원칙,2
청음 만소 정육점,2
