from,to,depth,documents
"x-file
in news","x-file
in news",0,"['대한민국 자랑 국민의 열망 국민의 희망 국민의 바램 윤석열대통령대통령 가자 끝까지 응원하고 지지합니다', '너무 멋지다 윤석열이 야권에 대권 후보지만 대통령에 한발 더 나아갔고 더 많은 국민들이 윤석열이를 환호하고 공정과 상식이 통하는 살만한 세상을 생각한다', '더불당 너히들이 아무리 멍멍왈왈 짖어대도 국민들은 오르지 윤석열대통령영접해서 문재인정권 악행부터 바로잡는 것이 첯버째 사명이고 국민들의 소망이란다']"
"x-file
in news",윤석열,1,"['누구든 윤석열의 대안이 되줘야함.윤석열 경쟁자면서 동시에 대안임.윤석열 낙마하면 정권교체 못함.그게 윤석열한테도 도움되는 거지 정권교체 못하면 윤석열도 계속 시달릴것임.', '무조건 윤석열 윤석열 하나면 충분하다. 대한민국 새롭게 씌여지도록 국민과 하나됐다. 이제부터 국민이 강해지고 윤석열은 대한민국을 하나되게 한다. 윤석열과 함께 간다.', '이번엔 윤석열 문제 있어도 지지한다. 적어도 염치없고 나라 중국에 넘기는 민주당 보단 낫다. 나라 지키려고 윤석열 지지하는 거지 윤석열이 겁나 잘할거 같아서 지지하는 건 아니다.']"
"x-file
in news",국민,1,"['x파일 반듯이 밝혀야 한다.국민알권리.안밝히면국민질책할것. 정치검찰인정하는 거임? 검찰중립훼손하는 거야. 온국민 앞에 정치검찰스스로 자인하는꼴인거임?준표말처럼x파일 꼭파헤쳐야함.', '국민의선택받기힘들겠다.x파일로국민신뢰잃음.국민짜증김종인말. 윤석열부인 김종인 부인만나려했단데 초조해한다는 김종인말 한심하다.', '차곡차곡 쌓아 놓았다면 불법 사찰이 맞지. 그리고 x파일은 국민의 알 권리이고 밝혀야 한다. 사실이면 후보 사퇴 하면 되는 것이고 거짓이면 고소각이다. 국민에게 사실을 알려주시오.']"
"x-file
in news",대통령,1,"['대통령이 임명해서 검찰총장까지 한 인간이. 배은망덕하게 반대당. 대통령 후보로 나온단다. 이런 호로 인간이. 대통령 되면 나라꼴 참 볼만하겠다. 제발 대통령 돼라.', '음주운전포함 전과 4범이 대통령되면 대한민국은 세계적 조롱거리입니다.절대 대통령불가합니다. 어디 인물이 없어 악질범죄자를 대통령시킵니까? 쪽팔립니다.뻔뻔한 놈 이재명.', '정치를 해본 적이 없는 사람이 무슨 대통령을 하냐??정치에 입문을 하고 대통령에 나오던지. 정치하던 박근혜도 제대로 못한 게 대통령인데. 아무나 대통려하려고 하네.']"
"x-file
in news",파일,1,"['야권의 뜨거운 감자 x파일?만약 x파일이 밝혀지지 않은 상태에서 윤석열이 야권의 대선 후보가 된 뒤x파일 이 사실로 밝혀지면 손도 써보지 못히고정권 탈환은 물 건너가다', '애초에 x파일이 아니라니깐? 왜 선동질을 하는 거지? 일개 유튜브 방송 대본이 x파일이냐? x파일은 따로 있잖아. 장성철이 갖고 있던거', '민주당에서는 국힘이 윤석열 x파일 만든거라고 하던데 ? 그럼 x파일 차곡차곡 쌓아놓고 있다는 송영길이는 사실상 국힘 스파이인가 ? 이거 서로서로 폭탄돌리는 것도 아니고 뭐이래 ?']"
"x-file
in news",정치,1,"['송영길 참 비열하다. 정치판에서 퇴출되어야 할 사람은 당신이다. 공작정치에 맛들어진 사람은 이제 정치에서 영원히 퇴출시켜야 한다. 그렇게 혐오하든 과거 정치행태를 또 소환하다니', '정치를 해본 적이 없는 사람이 무슨 대통령을 하냐??정치에 입문을 하고 대통령에 나오던지. 정치하던 박근혜도 제대로 못한 게 대통령인데. 아무나 대통려하려고 하네.', '윤봉길의사가 누군지는 알면서 기념관빌려서 되지도 않는 정치질한다고 선언한다고 그러느냐검사 시절정치질만하다가 이제 나라위해서 정치한다 고 지나가는 개가웃는다.']"
"x-file
in news",민주당,1,"['국힘의x파일이 그리 중요합니까?그포단 민주당의 차기 대귄 후보를 잘뽚아야 해요 민주당도 세대교체가 필요합니다 민주당이 꼭 승리하려면 박용진을 뽑아야 승리할 수 있어요', '윤석열 x파일을 처음으로 공개적으로 언론에서 떠든게 민주당 당대표 송영길이다 한 달 전쯤이었지 이것만봐도 문재앙 민주당 정권이 불법 사찰을 통해서 정치공작을 벌였다는 게 들어난다', 'x파일은 민주당에서 윤석렬 지지자들에게 뭔가 있는 거 아냐? 하는 의심을 같게하기 위한 공작이다 민주당으로서는 그런 게있던지 없던지 손해볼게없다는 생각에서 만들어낸 음모다']"
"x-file
in news",대선,1,"['멍청한건지 순수한 지는 모르겄다만 내년 대선은 이재명이 되겄다 하는꼬라지 보니 지들이 흘리고 지들끼리 계파투쟁하면서 송영길은 왜? 어찌나구린지 대선 출마 선언도 못하는 쪼다주제에', '제발제발 민주당서 대선후보 당선되서 나외라 대깨문40만빼고 야당 아무나 나와도 득표율 99대 0.5프로 정도 나오게 니깟것들 낮짝 못처들고 다니게 해줄게 다음 대선 기대해', '허위사실 유포할수록 윤석열인기가 떨어지는 게 아니라 유포자측 상대당이 저급해보인다 추미애가 윤석열을 총장 쫓아내려다 대선후보만들고 x파일 유포자가 대선후보 인기 올려주네']"
"x-file
in news",총장,1,"['운동권 애들. 총장과 협의시 총장이 다 들어 주기로 약속했음에도 불구하고 학우들에게는 총장이 하나도 안들어 주겠다고 썰 풀던데. ㅠㅠ', '검찰총장보다 법무장관이 문제가 더 많았다는 건 천지가 다 아는 사실. 대선에 후보로라도 참여하게 되니 눈물 나도록 고맙고 윤석열 전 총장의 지지도가 이제부터 또 높아지게 됬다.', '홍보물은 아니겠지요 그리고 젊잖케 얘기하요마는 그냥 자기 얘기만 하고 윤총장 얘긴하지 마시오맨날 애먼 윤총장 얘기하니깐 엑스맨 이라고 하잖소윤 말고는 얘기할 게 없는 거요?']"
"x-file
in news",나라,1,"['국힘은 홍준표가 합친게 잘못인거다. 이데로 탄핵파 놈들과 갔이 가다가는 나라가 거짓된나라 비정상인 나라되는 거다. 그러니까 종북주사파나라 된거다.', '개 돼지보수들 과외받으면 대통령하는 구나 정치검찰 국민들 때려잡는 나라 만들고 가족비리 접대검사 보호하고 미필 나라 친일나라만들겠다', '나라를 일본에 팔아먹어도 지지하는 30 나라를 북한에 팔아먹어도 지지하는 30 나머지 40가 이 나라의 운명을 결정한다.']"
