word,count
국민의 힘,78
의혹이 정리,47
파일을 입수,46
정책 센터 소장,46
논쟁 정책 센터,45
야권 인사 윤석열,25
보수 진영 정치,20
진영 정치 평론가,20
일부의 문서,19
유력 대선 주자,19
파일 입수 방어,18
장모의 의혹,18
입수 방어 어렵다,17
파일 입수 윤,14
국민의 선택,14
주영진의 뉴스,14
연합뉴스 류미나 기자,12
류미나 기자 보수,12
기자 보수 진영,12
서울 연합뉴스 류미나,12
이재명 경기 지사,12
야권의 유력,12
야권 유력 대선,11
검찰 총장 관련,11
야권 인사 문건,10
추미애 꿩 잡다,10
파일의 존재,10
총장 관련 의혹,10
유력 대권 주자,10
연합뉴스 서울 연합뉴스,9
국민의 짐,9
총장이 국민,9
괴문서로 정치,9
파일 사찰 공작,9
정치 평론가 장성철,9
야권 유력 대권,9
황보선의 출발,9
의혹이 정,8
출새 추미애 꿩,8
친문 유 튜버,8
남산 예장 공원,8
기자 장성철 공감,7
의혹을 정리,7
총장의 측근,7
검찰 개혁 언급,7
중구 남산 예장,7
기대를 걸다,7
상태 검찰 개혁,7
일신상의 이유,7
논쟁 센터 소장,7
선택 정책 센터,7
법무부 장관 대담,7
서울 중구 남산,7
미완의 상태,7
말문을 열다,6
총장의 각종,6
진행 황보선 앵커,6
쿠키 뉴스 정진용,6
처 장모 의혹,6
검찰 개혁 사법,6
총장에게 많다,6
총장의 대권,6
지지를 철회,6
개혁을 적극,6
총장이 정치,6
개혁 언론 개혁,6
출발 새아침 방송,6
개혁 사법 개혁,6
사법 개혁 언론,6
공작 정치 신호탄,6
이회영 선생 기념관,6
독립운동가 우당 이회영,6
우당 이회영 선생,6
황보선 앵커 출연자,6
당의 일정,6
목요일 진행 황보선,6
다음 뉴스 윤석열,6
뉴스 정진용 기자,6
내용을 담다,6
새아침 방송 일시,6
민주당 대선 후보,6
기자 이재명 경기,6
정진용 기자 장성철,6
앵커 출연자 추미애,6
파일을 공개,5
후원 계좌 기업,5
투데이 네이버 뉴스,5
취재진의 질문,5
가족 관련 의혹,5
출처 머니 투데이,5
질문을 듣다,5
직을 내려놓다,5
이유로 직,5
개관식에 참석,5
선생 기념관 개관식,5
부동산 전수 조사,5
문의 메일,5
머니 투데이 네이버,5
대선 출마 선언,5
기념관으로 이동,5
국민의 당,5
힘 최고 위원,5
