,pos_words,count,documents
0,지지,420,"['이낙연 세종서 지지모임 출범.중원권 지지기반 구축 완료', '이낙연 경북 지지모임 출범식.16곳 지지기반 갖춰져', '범여권 차기 대선주자 4위 등극 에 친노 유인태 저런 지지도가 민주당의 아스킬레스건']"
1,최고,314,"['시사스페셜 김재원 국민의힘 최고위원 공수처 윤 전 총장 기소 못해 결정 못하고 넘길 것', '시사스페셜 김재원 국민의힘 최고위원 이재명 지사가 후보 되면 tk에서 20 날아갈 것', '경선 연기 문제 결단 못 내린 민주당 지도부 25일 최고위서 최종 결정키로']"
2,흥행,116,"['사 사건건 김형준 한여름에 관심 떨어지는 경선에서 승리하면 실리 있을까 이택수 민주당 국민의힘에 지지율 역전. 9월 경선은 흥행 못할 수도', '골든크로스에 상한가까지.정책 부스트 탄 메타버스 ipo도 흥행할까', '흥행 위해 연기 vs 경선 원칙 지켜야 격론 벌인 민주 의총']"
3,신뢰,86,"['이규민 경선연기 주장에 신뢰 잃으면 모든 것 잃어원칙과 명분 버리지 말길', '민주당 대학생위원장 경선 연기 비판 또 약속 깨면 누가 당 신뢰 하나', '이낙연 정세균계 경선연기 집단행동 민형배 신뢰 떨어뜨리는 행위 비판']"
4,대상,56,"['기본소득 코로나발 재난지원금에 탄력농민 농촌 대상 검증 신호탄', '블랙핑크 간호사 성적 대상화 비판했던 박성민 비서관 됐다', '홍준표 윤석열 x파일 직접 해명해야최재형 평가대상 아냐']"
5,강하다,45,"['정세균 미래 먹거리 만드는 강한 경제대통령 되겠다', '소득 4만 시대 여는 강한 경제 대통령 될 것', '민주당 대선 경선 일정 강한 반발에 확정 미뤄']"
6,강세,44,"['마감종합 진원생명과학 상한가 삼일기업공사 대신정보통신 유승민 관련주 급등 델타 변이 이슈에 휴마시스 씨젠 등 진단 키트주 급등 네이버 카카오 강세에 코스피', '이주의 주식시장은? 쌍방울 하림 이스타 항공 인수 무산에 폭락. 윤석열 이재명 최재형 정치테마주 강세보여 카카오 신고가 경신 대한 전선 반등', '마감종합 코세스 옵티시스 등 메타버스 관련주 강세 최재형 관련주 상승세 지속 대한 전선 다시 급등 bts 훈풍에 하이브 강세 보여']"
7,상승세,44,"['마감종합 코세스 옵티시스 등 메타버스 관련주 강세 최재형 관련주 상승세 지속 대한 전선 다시 급등 bts 훈풍에 하이브 강세 보여', '이재명 관련주 이낙연 관련주 에이텍 남선알미늄 모두 상승세로에이텍 1 상승 이어 남선알미늄 2 상승', '이재명 관련주 이낙연 관련주 에이텍 남선알미늄 모두 상승세로 특히 에이텍 2 상승']"
8,새롭다,40,"['염태영 수원시장 남북한 지방정부 주도로 교류협력 이뤄지는 새로운 역사 시작되길', '이준석 따라 하면 맨날 2등 광주 온 박용진 새로운 돌풍 강조', '밑줄 쫙 7월부터 새로운 사회적 거리두기 체계 적용']"
9,이루다,39,"['대한민국 정치선진화 4년 중임제 이뤄질까', '양승조더불어 잘 사는 대한민국 이루겠다', '민주당 원칙과 상식 지켜라 21일 오후 3시 10분까지 전국의 18세 이상 남녀 10 28명이 응답한 ars 여론조사였다. 조사 결과 윤석열 32.0 이재명 29.3 이낙연 11.5 그 외 주자는 5 이하였다. 그 조사에서 몇 가지 흥미로운 조사가 함께 이뤄졌다. 정권교체 필요성에 대해 필요 56.5']"
