,neg_words,count,documents
0,힘들다,62,"['무검유죄내편네편혹세무민가두리양식장n그녀의 이름은쥴리쥴리의 사랑쥴리와돈과권력과그리고 남자 는 가랑이사이에 끼이면나오기힘들다n그놈은용감했다절대권력또속았다등등에서 참고만하세요', '홍남기그ghfhtorl진짜언제짤립니까?n민심의뜻이나 정권의뜻이나 대놓고반기들고짖어대는행위인데 왜가만냅두냐는겁니다.n어제 박진영교수께서그렇게목소리힘들어가신거처음봤습니다.', '그냥아닌척하던 일베마인드들은 개소리암거나 하면서 국힘찍을거임n윤석열지지율은 그냥국힘에서 대선주자내는순간거품처럼 사라짐n국힘들어간다고윤서열이대선주자로될리도없고']"
1,범죄,60,"['장모재판에윤석열을증인으로 불러서확인할 필요가 있어 보임.사위를증인으로 불러서장모범죄를 확실하게 입증해야.딸을증인석으로 부르는 것은패륜적으로 보이니.이것이 최소의공정아니겠는가?', '전 세계가 문재인데통령님께우호적인 시점에서 문대통령 사진 이미지까지범죄기사에여러 번교묘하게섞어실은시점에 소송걸면조금 더유리하지 않을까 싶은 생각이스치네요', '조국장관님은대한민국에서 가장청렴한분이라는 사실을 검찰을 통해 명명백백해졌습니다.이정도털어서범죄없는 사람이 있다는 것이 더신기할뿐입니다.조국전장관님힘내세요']"
2,재난,50,"['rn상징성있는 재난지원금보다코로나로절재절명의 부도 위기로 몰린회사나생활고를겪고 있는 분들에게몰아주는 것이rn진정한 재난지원이고 효과가배가될 수 있습니다.', '윤석열같은 인물이대선후보로 나온 것도.n민주당 집행부의 재난지원금선별지급노선도.n아직도조국과그가족이고 작동양대표창장으로 재판을 받고 있는 현실도.n답답하고속상하고.ㅠㅠ', '이건문통이정리해야지.지금 국내가이리된건은문통잘못아니냐.급하다 면서 대통령뽑아달라고 했잖아재난지원금하나도 정리안하고 또이러면도대체왜대통령할려고 하나']"
3,쓰레기,47,"['인간도아닌 것들은 강력한 처벌해야 됩니다쓰레기는소각만이답이고요.그작자돈줄도철저하게 파해치고전수조사해야 됩니다.이런작자는쓰레기통에 넣는 것도 사치.오로지소각시켜야 됩니다.', '조응천검사출신아닌가요국회의원들휼륭한출신들인데 왜하는짓들은 서민들보다헛짓거리들만하는 지손이오그라들아못보겠어요 제발왜들그러시는 지수박이든쓰레기들인지다음엔다쓸어버리길.', '조민양병원에극우쓰레기들이 와서큰소리로조민쫒아내라고n고함지르며시끄럽게한답니다.개검은무조건식구중누군가라도n집어넣으려는 건데조민양도기소할확율이크다고 해서 걱정입니다.']"
4,걱정,45,"['시사타파tv에서엑스파일이 조선일보같은데서나중에여당이 박근혜때처럼 사찰했다는 식으로 몰고 가려는 거같다던데 정말그런 건지박시영tv는어떻게 보는 지말씀해주세요.걱정이좀되네요.', '윤십원대통령되면윤삽원보다n마누라가걱정됩니다 사기꾼n장모와마누라생각하기 싫습니다.영부인이청아대에서n정권을 등에 업고부패가만연.하면 큰일입니다n정신은 우리가챠려야합니다', '조민양병원에극우쓰레기들이 와서큰소리로조민쫒아내라고n고함지르며시끄럽게한답니다.개검은무조건식구중누군가라도n집어넣으려는 건데조민양도기소할확율이크다고 해서 걱정입니다.']"
5,나쁘다,43,"['도곡동땅의혹이 있음에도 대통령이 된 이명박의나쁜 사례로 잘못된학습이된 것 같아불쌍해보이네요.대선에안나왔으면검증안받을텐데.그래도 사실저는나오기를 바랬어요.이런결과를 바래서요.', '윤석열은검찰입니다.검찰이 나쁜 것은뭐아닙니다 만조국진행 사건과 비리를 보면 그는 좋은 사람이 아닙니다.우리에게 필요한 것은 선택적정의가 아닌행정가의민생안정입니다', '새날께너무싫망했습니다.n제가 무었을잘못했는지는 모르겠지만 더 이상새날을볼 수 없다는 메시지가떠서n너무기분나쁘고싫망했습니다.n해명을 부탁드립니다']"
6,망하다,43,"['새날께너무싫망했습니다.n제가 무었을잘못했는지는 모르겠지만 더 이상새날을볼 수 없다는 메시지가떠서n너무기분나쁘고싫망했습니다.n해명을 부탁드립니다', '어떻게 해도폭망한다.빨리그만둬도망하고질질 끌면더크게망한다.둘다일본 국과깊이연루되어 있다.', '윤십원n토론좀한번시켜보자n볼만하겠다.nn윤십원n컴활자격증도따야겠네.nnn윤도리도리를n국민의짐에서 받아준대?n nn국민의짐너무n손해보는장사.n국민의짐이미지.n더.망하겠다.']"
7,당하다,42,"['중앙일보la확보되었답니다.n조선중앙미국에서 소송당할 것입니다.n두회사나란이1억달러씩소송당할 것이고n폐간을하게 될겁니다.n채널a검언유착으로 빠른취소기대하겠습니다', '지금자유가빠졌다고??이명박그네민간사찰과압박.제대로당했다면.윤씨는변두리에서 아직도검새나하고 있을껀데참나.문재인 정부라그나마살아있는 것에.제발감사함을 가져라ㅠㅠ', '조국장관님에겐국민이힘이되어야 합니다.n정말윤석열은그대로털어서똑같이당해봐야 합니다.n소름 끼치도록나쁜 놈 이란걸전국민이 알아야 합니다.']"
8,비판,39,"['그리고 대통령의 인사권을 비판할거면과연박성민이비서관으로 적합한자질이 있는가를 비판해되도읺는공정타령하지 말고 아무대나공정공정', '홍준표 의원윤석열비판하면야당망한가뭉처야나라 국민살길이다 여당본밭없라야당홍의원지지율모리냐국민들똑똑한줄알라공직사람능력 있으면 대통령하지홍 의원프로모르냐혼자잘낫냐????여당심판하라', '희두님맘이아파요118일 동안구석구석돌아다녀공부했다 더니문재인데통령 만118번까는듯한 정부 비판에속이상합니다 인간미 라고 1도느껴지지 않는데꼼수들은띄우느라난리니속상합니다']"
9,감옥,39,"['윤짜장감옥으로즉각보내거라이번 대통령은추미애다음은조국전장관님을추미애 대통령후계자로했으면함꼭그렇게됄것임추미애조국화이팅이재명씨는 검찰개혁물건너감깨시민냉정히생각잘하시길부탁합니다.', '국민은도저히윤십원을두고 볼 수 없다ㅡㅡ창피하다 대통령이 이명박박그네이름이냐?자격없는 인간들이 대통령넘보다감옥갔다너도가고 싶은거야?', '권력과욕심이얼굴에더덕더덕붙어 있는 정치검새.저런게검찰총장에 있었으니 검찰이검새가되버렸지.쯧쯧감옥갈감이지.']"
