word,count
조국 장관,147
검찰 개혁,72
국전 장관,64
윤봉길 의사,61
대선 후보,57
조 국전,56
윤도리 도리,51
언론 개혁,50
추미애 장관,45
추 장관,43
이재명 지사,42
재난 지원금,41
검찰 총장,38
출마 선언,36
대선 출마,35
대통령 후보,32
손해 배상,29
이탄희 의원,27
정신 차리다,26
김 엄마,26
추 다르크,25
조국 가족,25
민주 진영,24
항상 응원,24
기자 회견,24
조국 교수,23
추미애 대통령,22
기재 부,21
남자 박근혜,21
박 지희,21
추미애 후보,21
민주당 의원,20
추장 군,20
도시 투기,18
최순 실,18
추미 애,18
추미애 대표,18
임은정 검사,18
공 수처,18
선별 지급,18
탈탈 털다,17
사모 펀드,17
조선일보 폐간,17
대권 주자,16
유 튜버,16
태극기 부대,16
홍 발정,16
도리도리 도리도리,15
도리도리 윤,15
우유 튜버,15
극 우유,15
노무현 대통령,14
촛불 시민,14
보편 지급,14
국민 재난,14
구속 수사,14
여론 조사,14
대통령 출마,13
윤봉길 기념관,13
알리 미,13
우파 삼촌,13
기 레기,12
개인 정보,11
이선옥 작가,11
신유진 변호사,11
문 대통령,11
주가 조작,11
민주당 대선,11
대한민국 국민,11
토착 왜구,10
이재명 대통령,10
필요 없다,10
범죄 집단,10
법무부 장관,10
민주 시민,10
미 황희두,10
공공 주택,10
문재인 정부,10
차기 대통령,10
대권 도전,10
추미애 화이팅,9
경심 교수,9
주택 공급,9
윤근 혜,9
개혁 법,9
의사 기념관,9
대선 주자,9
꼭 대통령,9
민주당 지도부,9
정권 교체,9
뉴스 공장,9
대한민국 대통령,9
대권 후보,9
펀드 무죄,9
박 그네,8
문 준용,8
지희 아나운서,8
가장 민주당,8
명예 회복,8
수고 많다,8
중서 민용,8
전수 조사,8
전화 번호,8
이동형 작가,8
윤석열 가족,8
고일석 기자,8
조국 일가,8
민용 요충지,8
늘 응원,8
책 제목,8
주택 거짓,7
추미 애전,7
재산 신고,7
참 한심,7
조국 대통령,7
지원금 지급,7
정치 검사,7
박성민 비서관,7
당 대표,7
민주당 지지자,7
거대 범죄,7
거짓 자체,7
거짓 조작,7
홍준표 의원,7
구독 좋다,7
국민 청원,7
김성회 대변인,7
나라 망신,7
면접 관,7
문재인 정권,7
진보 유,7
보궐 선거,7
연립 주택,7
사법 개혁,7
선별 지원,7
형성 과정,6
부장 검사,6
꼭 처벌,6
한동훈 휴대폰,6
김용민 피디,6
함량 미달,6
서울 시장,6
항상 감사,6
정대 택,6
진보 진영,6
고소 고발,6
검찰 공화국,6
주제 파악,6
쿠 테타,6
알리 미황,6
윤 그네,6
지역 화폐,6
가족사 기단,6
뇌 구조,6
요충지 쾌,6
표창장 위조,6
추 대표,6
파평 윤,6
반드시 정의,6
민주당 정신,6
민주당 수박,6
이재명 지지,6
민주 국가,6
미황 희두,6
절대 대통령,6
무죄 확정,6
재난 지원,6
대권 출마,6
다음 총선,6
적극 지지,6
다음 대통령,6
다음 대선,6
태영 호,5
친일 매국,5
추미애 대선,5
함께 많다,5
팩션 팩,5
황 교활,5
트 픽션,5
가슴 아프다,5
쥐 박이,5
조국 사태,5
봉사 장,5
보수 따지다,5
박지 희다,5
민주당 후보,5
민주당 지지,5
대국민 선전,5
뇌물 수수,5
꼭 필요,5
깨 시민,5
김태현 기자,5
극우 유튜브,5
국민 차별,5
광고 요정,5
공정 정의,5
검찰 청장,5
검사 판사,5
개혁 언론,5
사기 사건,5
속성 위선,5
아주 좋다,5
인권 유린,5
조 장관,5
정보 유출,5
정말 좋다,5
재산 형성,5
장용진 기자,5
장관 가족,5
인사 참사,5
이재명 추미애,5
왜 대통령,5
이명 박근혜,5
은국 짐,5
윤석열 최재형,5
윤석열 아버지,5
윤석열 대통령,5
윤석열 구속,5
원가 공개,5
황희두 화이팅,5
