word,count
국민의 힘,94
경선 연기 반대,34
송영길 당 대표,33
김대중 노무현 문재인,30
민주당 당 대표,25
국민의 짐,25
개혁 검찰 개혁,24
개혁 언론 개혁,22
검찰 개혁 언론,20
언론 개혁 검찰,20
김구 김대중 노무현,17
노무현 문재인 이낙연,17
원칙을 지키다,16
민주당을 지지,16
국민 재난 지원금,15
민주당 대선 후보,15
당 대표 사퇴,14
자격이 없다,14
대선 기 획단,13
여당 당 대표,13
당 대표 송영길,12
능력이 없다,11
경선을 연기,11
당 대표 선거,11
이준석이 당,11
힘 당 대표,10
최악의 당,10
검찰 언론 개혁,10
이낙연의 길,10
광주 건물 붕괴,9
연기를 주장,9
이준석 당 대표,9
부동산 전수 조사,9
스페인 국빈 방문,8
대선 기획 단장,8
후보를 지지,8
개혁 사법 개혁,8
당 대표 시절,7
당 대표 자리,7
정신 못 차리다,7
대선 경선 연기,7
이준석이 국,7
경선 연기 찬성,7
민주당을 대표,7
민주당의 정신,7
방법을 가리다,7
민주당을 망치다,6
인간이 민주당,6
당헌 당규 개정,6
엑셀을 밟다,6
박광온 법사 위원장,6
참사 운전사 본능,6
버스 기사 탓,6
후보를 선출,6
언론 검찰 개혁,6
민주 대권 주자,6
민주당의 정체,6
개혁 포털 개혁,6
국민의 신뢰,6
권리 당원 게시판,6
대선 후보 선출,5
대통령의 정책,5
국민의 당,5
청년 특임 장관,5
민주당 지지율 떨어지다,5
이재명이 대선,5
부동산 규제 풀다,5
이재명이 민주당,5
건물 붕괴 사고,5
복지 서울 포럼,5
복지 대전 포럼,5
지지율이 높다,5
대표로 뽑다,5
민주당이 대선,5
대한민국의 미래,5
민주당의 대표,5
자리에 앉다,5
모자를 판,5
광주 참사 운전사,5
민주당에서 나가다,5
연기 절대 반대,5
국민의 뜻,5
민주당에 기생,5
게시판에 글,5
권익 위 조사,5
희망이 없다,5
판문점 선언 비준,5
건물 붕괴 참사,5
승리의 길,5
음주운전 논문 표절,5
세계를 진실,4
얼굴에 먹칠,4
민주당이 국,4
이해찬 당 대표,4
언론 포털 개혁,4
민주당의 지지율,4
가치관 신념 판단,4
언론이 만들다,4
여당의 당,4
오스트리아 스페인 국빈,4
개혁을 추진,4
자멸의 길,4
민주당을 사랑,4
관심이 없다,4
정권을 잡다,4
여당의 대표,4
역대 급 성과,4
이준석이 대표,4
방식 리플리 증후군,4
언론 개혁 포털,4
거짓말이 진실,4
사법 언론 개혁,4
사고 방식 리플리,4
이명 박근혜 사면,4
