word,count
파일,921
총장,297
정치,237
검찰,231
의혹,202
국민,158
뉴스,137
야권,117
논란,114
입수,110
공작,109
대변인,104
소장,94
공감,87
기자,87
관련,86
대선,85
공개,76
장모,75
출처,72
내용,70
정리,68
센터,65
사퇴,63
대표,63
인사,59
방어,57
정책,56
평론가,55
사찰,53
논쟁,53
조국,50
대권,49
주자,46
문건,46
대응,46
검증,44
선언,44
수사,44
후보,43
보수,42
의원,41
선택,39
개혁,39
다음,38
불법,37
유력,37
진영,36
시작,36
출마,34
지사,34
이날,33
장관,32
경선,32
언급,31
악재,28
방송,28
지지율,28
인간,27
사건,27
문서,26
주장,25
확인,24
공격,24
여권,23
열흘,23
대통령,23
일부,23
언론,22
인용,22
조사,22
정부,22
야당,21
입당,21
기관,21
명분,20
존재,20
진실,20
실체,20
손절,20
여당,20
순간,19
제기,19
위기,19
정권,19
괴문서,19
진행,19
검사,18
가족,18
가운데,18
채널,18
트윗,18
라디오,18
자체,18
질문,17
지지,17
출신,17
보도,17
자료,17
거론,17
작성,17
법무부,17
집권당,16
내부,16
작성자,16
최고,16
앵커,16
공정,16
개입,15
이유,15
메시지,15
입장,15
버전,15
본인,14
브리핑,14
가능,14
친문,14
충격,14
해명,14
필요,14
침묵,14
위원,13
연기,13
전언,13
정면,13
여야,13
도전,13
취재,13
조작,12
수처,12
돌파,12
수준,12
준비,12
네거티브,12
발언,12
비판,12
오후,12
고발,12
정보,12
포기,12
경기,12
파기,11
측근,11
갈등,11
수류탄,11
요약,11
허상,11
시민,11
기념관,11
공식,11
국가,11
아군,11
비리,11
목소리,11
경고,10
본격,10
여부,10
오전,10
평가,10
요구,10
교체,10
국회,10
부인,10
자율,10
범죄,10
역공,10
사진,10
혼선,10
최초,10
각종,10
이용,10
출발,10
일가,10
단독,10
임명,10
대담,10
모습,9
처음,9
감사원장,9
인터뷰,9
후폭풍,9
우려,9
후원,9
참석,9
난리,9
일정,9
여론,9
선거,9
기대,9
신호탄,9
캠프,9
상태,9
출새,9
매체,9
색히,9
철회,9
관심,9
국면,8
결정,8
기사,8
고심,8
이야기,8
이슈,8
공원,8
엑스,8
일신상,8
저작,8
소속,8
주요,8
응원,8
세력,8
주목,8
압박,8
경제,8
음모,8
정의,7
저격,7
행보,7
프로그램,7
주가,7
판단,7
책임,7
승리,7
시사,7
계좌,7
심정,7
권력,7
머니,7
쓰레기,7
애초,7
계획,7
설명,7
이면,7
미완,7
방문,7
결론,7
걱정,7
감옥,7
목요일,6
논설위원,6
먹잇감,6
최근,6
말문,6
등판,6
독립운동가,6
도덕,6
멧돼지,6
일시,6
낙마,6
취재진,6
긴급,6
근거,6
중요,6
쿠키,6
구체,6
판사,6
관계,6
폭로,6
경쟁,6
해당,6
경위,6
별거,6
훼손,6
상황,6
소송,6
제목,6
새끼,6
정치인,6
상대,6
사법,6
위원장,6
아내,6
선생,6
부동산,6
병역,6
속보,6
저녁,6
보좌관,6
적극,6
우당,6
온라인,5
과정,5
연루,5
교수,5
증거,5
그날,5
운운,5
의미,5
의심,5
결국,5
현용,5
결과,5
이동,5
개인,5
개관식,5
이름,5
전수,5
나라,5
시절,5
처가,5
배우,5
반복,5
민주,5
보호,5
물건,5
부분,5
모양,5
부탁,5
메일,5
콘텐츠,5
망라,5
등장,5
색출,5
출연,5
대신,5
생산,5
기업,5
시기,5
무대응,5
