word,count
기 레기,75
잔여 백신,69
백신 맞다,46
당 대표,37
백신 접종,36
검찰 개혁,36
조국 장관,32
토착 왜구,24
법무부 장관,24
시노 팜,20
대선 주자,18
주사 맞다,17
이낙연 의원,17
대선 후보,16
전화 예약,15
금 도리,14
이낙연 조국,14
왜구 박멸,13
박멸 소탕,13
촛불 시민,12
추 장관,12
대구 경북,12
대형 마트,12
가슴 아프다,12
부모 찬스,12
조국 추미애,11
대권 주자,11
접종 후,11
노무현 대통령,11
조국 가족,10
여론 조사,10
영수증 검사,10
주문 완료,9
백신 예약,9
검찰 총장,9
태세 전환,9
하루 종일,9
민주당 대표,8
일본 기업,8
추미애 탓,8
이낙연 더불다,8
선거 패배,8
다음 날,8
새로 고침,8
증상 없다,8
독고 민초,8
조국 비판,8
국경 살쾡이,8
홍차 야옹,8
재난 지원금,8
시부 레거,8
빨리 맞다,8
가짜 뉴스,8
강제 노역,8
김대중 대통령,8
회고록 출간,7
저자 등재,7
대사 부인,7
문재인 대통령,7
보궐 선거,7
조국 사태,7
층간 소음,7
집단 면역,7
유체 이탈,7
유 튜버,7
별로 없다,7
입시 제도,7
면책특권 포기,7
과잉 수사,7
변덕 변태,7
이명 박근혜,7
특정 계층,6
제도 자체,6
지지 모임,6
레 드럼,6
동네 병원,6
여권 대선,6
댓글 감사,6
조국 교수,6
내란 음모,6
고생 많다,6
정권 교체,6
반 페미,6
궁금 궁금,6
심신 미약,6
정부 시대,6
많이 나오다,6
노무현 문재인,6
오너 리스크,6
의리 없다,6
최고 위원,5
아직 연락,5
작성자 느긋,5
베이 킹,5
이낙연 검찰,5
도장 찍다,5
출간 소식,5
청년 정책,5
기름 장어,5
언론 개혁,5
김대중 노무현,5
참으로 가슴,5
욕 나오다,5
직장 근처,5
낙 연씨,5
이낙연 아들,5
레기 새끼,5
손해 배상,5
기분 좋다,5
송영길 대표,5
막스 까발리다,5
옥스포드 백신,5
아노 리우스,5
민규 학생,5
많이 사용,5
딴지 비둘기,5
정상 회담,5
조국 수사,5
경기 지사,5
승상 제갈량,5
그나마 다행,5
이탈 화법,5
독감 백신,5
민주당 이낙연,5
이재명 경기도지사,5
하루 살,5
인터 파크,5
접종 완료,5
접종 예약,5
이레 놀다,5
장관 일가,5
문재인 정부,5
부모 자식,5
정보 감사,5
