word,count
당 대표,127
기 레기,90
대선 후보,71
재난 지원금,60
안심 소득,56
조국 장관,54
지역 화폐,53
이재명 지사,53
잔여 백신,47
기본 소득,40
백신 맞다,38
검찰 개혁,33
대선 주자,32
공기 저항,32
반 페미,29
지자 체장,28
여론 조사,28
조국 사태,27
차선 변경,25
필요 없다,25
백신 접종,24
디젤 국,24
경기도 지사,23
서울 시장,21
언론 개혁,21
송영길 대표,21
대권 주자,18
퓰리스 트,16
페북 업데이트,16
코코 민트,16
검찰 총장,16
홍차 야옹,16
유일신 메시,16
다음 날,16
벽오동 심다,16
이재명 찍다,15
차기 대선,15
작성자 느긋,15
문재인 대통령,15
민주당 지지자,15
경기 지사,15
매드 노브,15
먼저 맞다,15
성남 시장,14
이재명 경기도지사,14
정보 감사,14
별로 없다,14
이재명 페북,14
내년 대선,14
양자 대결,13
선별 지원,13
이재명 경기,13
가짜 뉴스,13
민주당 의원,13
지역 상품권,13
중앙 정부,13
의미 없다,13
기자 회견,13
부동산 정책,12
소상 공인,12
보궐 선거,12
수류탄 투척,12
재벌 해체,12
이재명 싫다,12
행복 회로,12
보이스 피싱,12
디언 로키스,12
국산 고추가,12
윈드 스크린,11
인기 글,11
송 대표,11
이웃집 고양이,11
이낙연 정세균,11
정신 승리,11
형 보수,11
기본소득 재원,11
문 대통령,11
톰 아저씨,11
민주당 대선,11
노무현 대통령,11
남자 친구,11
재원 마련,10
오세훈 서울,10
의리 없다,10
왜 인기,10
배달 오토바이,10
이준석 남자,10
클라시 커,10
이재명 지지,10
복지 정책,10
경제 정책,10
이명 박근혜,10
대구 시장,10
사격 훈련,10
금 도리,10
후보 적합,10
맛 아몬드,9
본문 글쓴이,9
이준석 당,9
표 냄새,9
하루 종일,9
민주당 지도부,9
다음 대선,9
조국 교수,9
조 선생,9
대구 시민,9
전화 예약,9
검사 사칭,9
거의 없다,9
세금 폭탄,9
와사비 맛,9
트 체크,9
이준석 지지,9
은둔 하수,9
지원금 지급,9
경선 통과,9
돈 까스,8
주문 감사,8
대선 경선,8
꼭 필요,8
기본 대출,8
가상 화폐,8
계곡 도르,8
대통령 후보,8
변덕 변태,8
이낙연 의원,8
전면 번호판,8
역대 급,8
가계 소득,8
민주당 대표,8
손실 보상,8
재정 자립,8
전당 대회,8
전국 민재,8
상대 습도,8
추 다르크,8
돈 뿌리다,8
추미애 장관,8
오세훈 안심,8
이재명 뽑다,8
서민 경제,8
냄새 맡다,8
이재명 지지율,7
수류탄 던지다,7
답변 감사,7
접종 후,7
조세 저항,7
이재명 지지자,7
대선 출마,7
정권 연장,7
일본 애,7
빨리 맞다,7
정무 감각,7
이재명 입장,7
보편 지급,7
다저스 시즌,7
회계학 산책,7
후면 번호판,7
정말 좋다,7
찢 재명,7
이재명 대통령,7
항암 치료,7
민주당 후보,7
블루 벨,7
토착 왜구,7
랍 스터,7
남성 인권,7
조 회수,7
가성 비,7
기 더기,7
국민 재난,7
연구 결과,7
급 차선,7
조 국수호,7
시즌 우승,7
차간 주행,7
유 튜버,7
문 재앙,7
과속 카메라,7
백신 예약,7
아노 리우스,7
현금 지급,7
중위 소득,6
미키 마우스,6
차이 없다,6
엄청 싫다,6
기본 주택,6
조국 추미애,6
회로 돌리다,6
그냥 민주당,6
유승민 윤희숙,6
무료 입장,6
번호판 달다,6
오사 바사,6
제목 장사,6
대선 나오다,6
초저 금리,6
금융 치료,6
신호위 반,6
스펙 쌓다,6
네이버 카카오,6
콘크리트 지지층,6
박 의원,6
오뚜기 짜장면,6
미스터 션,6
인권 보호,6
변경 후,6
유료 퇴장,6
일본 정부,6
모니터 암,6
댓글 달다,6
화이자 모더,6
케이 강,6
조 단위,6
법무부 장관,6
머니 투데이,6
이재명 좋다,6
입장 유료,6
션 샤인,6
지역 사랑,6
차 차기,6
세균 맨,6
민주당 지지,6
방역 당국,6
빈부 격차,6
민주당 지지층,6
급차 선변,6
많이 벌다,6
얘기 나오다,6
윤석열 지지,6
정권 교체,6
대선 토론,6
도쿄 올림픽,6
벤츠 과실,6
주문 완료,6
많이 나오다,6
우왕 굿,6
보편 지원,6
장 예찬,6
문자 행동,6
검찰 수사,6
보헤미안 랍,6
인터 파크,6
제일 좋다,5
대권 도전,5
어차피 대선,5
이재명 대선,5
대권 후보,5
떡검 해체,5
개발 세뇌,5
이재명 윤석열,5
이재명 도지사,5
레알 맛,5
표 퓰리스,5
화수동 건물,5
박근혜 사면,5
대구 경북,5
국토 부,5
나경원 주호영,5
최배근 교수,5
어마 무시,5
심사 대출,5
민주당 경선,5
조국 관련,5
워낙 많다,5
조국 책,5
레기 새끼,5
개혁 언론,5
임정엽 재판장,5
화폐 지급,5
이재명 경기도,5
란스 로우,5
정치 생명,5
시대 정신,5
카레 풀,5
우선 접종,5
베 카레,5
조국 쉴드,5
기본 금융,5
상관 없다,5
생산 수단,5
대표 시절,5
젠더 이슈,5
정 갤러,5
선수 두구,5
사용 가능,5
못 알아듣다,5
과실 비율,5
문재인 정부,5
형 수보,5
사면 발,5
엄청 많다,5
사면 발언,5
뉴스 공장,5
그나마 다행,5
경상도 출신,5
지방 선거,5
독감 백신,5
후보 경선,5
위기 상황,5
선별 지급,5
메시 화이팅,5
권성수 주심,5
부동산 관련,5
부티 애스다,5
경기도 재정,5
재판장 김선희,5
주심 임정엽,5
무역 회사,5
안드로 서브,5
이준석 윤석열,5
술 처먹다,5
녹화 사업,5
이준석 응원,5
매출 증대,5
유력 대권,5
이레 놀,5
오리발 떡검,5
권징 징,5
밭 갈기,5
깊이 관여,5
아이언 돔,5
숟가락 얹다,5
흙 수저,5
경기 도민,5
아주 좋다,5
혜경궁 김,5
야구 기자,5
동네 병원,5
정부 정책,5
정부 탓,5
신용 불량,5
국가 부채,5
키타 구구,5
페르 디,5
존나 웃기다,5
닭 잡아먹다,5
교통 법규,5
정신 차리다,5
김남국 의원,5
용인 스마일,5
피터 팬,5
반 토막,5
차별 급식,5
