from,to,depth,documents
"정세균
in news","정세균
in news",0,"['정세균 개인 유불리 떠나 대선경선 연기 논의해야당헌 개정 사항 아니다', '이재명이냐 이낙연 정세균이냐출발하고 보는 대선경선 갈등 시한폭탄', '이낙연 정세균계 vs 이재명계 대선경선 일정 갈등 전면전 확산']"
"정세균
in news",정세균,1,"['금일 건설 부동산 주요 기사 정세균 임기내 280만호 공급 부동산 세제 유지 .청년 신혼 공공임대 5844채 입주자 모집', '윤석열 차기 대선후보 지지율 5.2p 급락윤석열 33.9 이재명 27.2 이낙연 13.0 정세균 4.7', '수산중공업 알루코 정세균 관련주 소폭이지만 희비 엇갈려수산중공업 소폭 상승 반해 알루코 소폭 하락']"
"정세균
in news",경선,1,"['더불어민주당 대선 경선 연기하나. 격론 끝에 25일 결론 의원총회에서 비이재명계 경선 연기 요구 이어졌지만 송영길 대표 상당한 사유 있나 부정적 의견', '사 사건건 김형준 한여름에 관심 떨어지는 경선에서 승리하면 실리 있을까 이택수 민주당 국민의힘에 지지율 역전. 9월 경선은 흥행 못할 수도', '천지일보 이슈종합 쿠팡 덕평물류센터 실종 소방대장 백신 1400만명 7월 1859세 재감염 종부세 양도세 비과세 경선 연기 우정사업본부 택배노조 검찰 조직개편']"
"정세균
in news",대선,1,"['차기 대선 경제분야 국정과제 여론조사 단독 차기 대선 1순위는 경제발전과 일자리확대 2순위 서민주거안정', '더불어민주당 대선 경선 연기하나. 격론 끝에 25일 결론 의원총회에서 비이재명계 경선 연기 요구 이어졌지만 송영길 대표 상당한 사유 있나 부정적 의견', '금일 건설 부동산 주요 기사 공급방안 vs 희망고문 대선주자들 부동산 공약 경쟁치열.내년 4월 광화문광장 개장 속 2023년엔 월대 복원']"
"정세균
in news",민주당,1,"['민주당 문재인 대통령 g7 기사 적다며 언론 때리기.국기 구별 못 하고 예방률 50 안 되는 백신 면담 보도해 달라는 건가? 너무한 것 아닌가 라고 비판하기 전.', '더불어민주당 대선 경선 연기하나. 격론 끝에 25일 결론 의원총회에서 비이재명계 경선 연기 요구 이어졌지만 송영길 대표 상당한 사유 있나 부정적 의견', '관풍루 여당에 이어 보수 진영에서도 윤석열 전 검찰총장 x파일 논란 터져김재원 국민의힘 최고위원 송영길 민주당 대표 향해 윤 x파일 공개하라 요구']"
"정세균
in news",연기,1,"['더불어민주당 대선 경선 연기하나. 격론 끝에 25일 결론 의원총회에서 비이재명계 경선 연기 요구 이어졌지만 송영길 대표 상당한 사유 있나 부정적 의견', '천지일보 이슈종합 쿠팡 덕평물류센터 실종 소방대장 백신 1400만명 7월 1859세 재감염 종부세 양도세 비과세 경선 연기 우정사업본부 택배노조 검찰 조직개편', '천지일보 이슈종합 쿠팡 덕평물류센터 실종 소방대장 백신 1400만명 7월 1859세 재감염 종부세 양도세 비과세 경선 연기 우정사업본부 택배노조 검찰 조직']"
"정세균
in news",의원,1,"['더불어민주당 대선 경선 연기하나. 격론 끝에 25일 결론 의원총회에서 비이재명계 경선 연기 요구 이어졌지만 송영길 대표 상당한 사유 있나 부정적 의견', '대법 안호영 의원 친형 무죄 판결 안 의원 족쇄 풀려 정치행보 가속화', '공감 10주년 기획 특집 1억원 이상 기부 아너 소사이어티.현직의원 6명 참여 저조']"
"정세균
in news",이낙연,1,"['열린 공감tv 최성해 이낙연이 조국 쳤다 했다 vs 이낙연 허위사실', '윤석열 차기 대선후보 지지율 5.2p 급락윤석열 33.9 이재명 27.2 이낙연 13.0 정세균 4.7', '차기 대선 후보 지지율 윤석열 이재명 2강구도 이어 이낙연 홍준표 추미애 순최재형 6위']"
"정세균
in news",국무총리,1,"['이천 쿠팡 물류센터 화재 고 김동식 구조대장 빈소 찾은 전 국무총리들', '정세균 전 국무총리 대선 출마 선언 후 포항을 찾은 까닭은?', '자리에 착석하는 정세균 전 국무총리와 김동명 한국노총 위원장']"
"정세균
in news",이재명,1,"['헤드라인 판도라 상자 vs 빈 박스 윤석열의 x파일.이재명 vs 이재명 경선 논의 앞둔 폭풍전야', '대선으로 가는 길 자중지란 민주당 이재명vs반 이재명 연대 경선연기 갈등 격화', '경선 연기 놓고 이재명 연대 결성 움직임 이재명도 5년 전엔 연기 주장']"
"정세균
in news",대표,1,"['더불어민주당 대선 경선 연기하나. 격론 끝에 25일 결론 의원총회에서 비이재명계 경선 연기 요구 이어졌지만 송영길 대표 상당한 사유 있나 부정적 의견', '관풍루 여당에 이어 보수 진영에서도 윤석열 전 검찰총장 x파일 논란 터져김재원 국민의힘 최고위원 송영길 민주당 대표 향해 윤 x파일 공개하라 요구', '정웅교의 정치분석 이준석 대표 국민호응도 높지만 미숙한 리더십과 정치평론가적 비판 발언으로 윤석열 전 총장 1차 위기 초래']"
정세균,총리,2,"['대선 출마 선언한 정세균 전 총리 그의 틱톡 영상 두고 때아닌 표절 논란 영상', '민주당 대권주자 정세균 전 총리 공공임대 100만호 등 부동산 공급 폭탄 투하', '이낙연 전 대표 정세균 전 총리 경선 시기 논의 거부는 당헌 위배지도부 압박']"
정세균,기자,2,"['머니s포토 한국기자협회 초청 토론회 참석한 정세균 전 총리', '정세균 징벌적 손배제 기자 개인 아닌 언론사에 부담 지워야', '포토 부동산 정책 발표 기자회견장 들어서는 정세균 전 총리']"
정세균,주자,2,"['민주당 대권주자 정세균 전 총리 공공임대 100만호 등 부동산 공급 폭탄 투하', '양승조 출판기념회 이낙연정세균김두관박용진 등 여권 대선주자 총출동 tf사진관', '대권주자 정세균 주택 280만호 공급 공약반값반의반값 공공아파트 30만가구']"
정세균,뉴스,2,"['뉴스핌 여론조사 지지층 59.2 이재명 선호이낙연 19.8 정세균 9', '뉴스포커스 이낙연 정세균 측 vs 이재명 측 경선일정 정면 충돌', '한국기자협회 초청 토론회에서 발언하는 정세균 전 총리 서울 연합뉴스 대선 출마를 선언한 정세균 전 총리가 22일 오후 서울 중구 프레스센터에서 열린 한국기자협회 초청 토론회에서 발언하고 있다. 2021.6.22 국회사진기자단 toadboyyna.co.kr 끝 이 시각 많이 본 기사 저작권자c 연합뉴스 무단 전재']"
경선,일정,2,"['민주당 경선일정 확정 불발 25일 최종 논의지지층 과반 경선 연기 반대', '대선후보 경선 논의 위기.경선 일정대로 우세 속 막판 고심', '경선일정 고수 방침친문 졸속 경선 기울어진 운동장 반발']"
경선,의총,2,"['민주당 경선 연기론 의총 의총 뒤 최고위 다시 열어 결론 시도', '경선 일정 의총 앞두고 대치 고조이광재 김두관도 의총 서명', '22일 경선 연기 논의 의총 송영길 경선 예정대로 치를듯']"
