word,count
당 대표,769
이낙연 의원,615
디 어문,511
이재명 지사,510
이재명 지지자,471
떵 파리,425
대선 후보,352
언론 개혁,350
검찰 개혁,332
이낙연 대표,327
찢 파리,267
조국 장관,230
노무현 대통령,224
내부 총질,200
정신 차리다,197
이재명 이해찬,194
베 용어,189
보궐 선거,171
법사 위원장,170
민주당 의원,169
민주당 당원,166
권리 당원,162
이재명 탈당,156
낙 연이,144
이재명 지지,143
당원 게시판,140
필요 없다,137
이재명 출당,130
초선 오적,128
문재인 대통령,118
문 대통령,117
가짜 뉴스,107
민주당 후보,107
선거 패배,104
이재명 도지사,103
혜경궁 김,103
민주당 지지자,101
베 출신,100
초선 의원,99
차기 대통령,98
최고 위원,96
이해찬 이재명,96
기 레기,96
반드시 패,95
찢 끄레기,95
정계 은퇴,94
무상 연애,93
오렌지 뻐꾸기,92
대권 후보,92
여론 조사,92
해당 행위,90
선거 운동,89
경기도 지사,88
찢 충이,87
이명 박근혜,84
유 튜버,81
민사 소송,81
박근혜 사면,80
선대 위원장,80
재난 지원금,79
민주당 대선,79
홍영표 의원,78
왜 민주당,77
이재명 같다,75
민주당 게시판,73
대선 주자,73
이재명 아웃,70
개혁 입법,70
개혁 법안,69
떵 파리다,68
이재명 나가다,67
이낙연 지지율,67
필패 똥파리,67
공 수처,66
노무현 정권,66
박스 떼다,65
찢 지사,64
경기 도민,64
검사 사칭,63
이재명 나가라,63
송영길 대표,62
이해충돌 방지법,60
글 올리다,59
노무현 문재인,57
친구 비,57
법안 통과,57
대통령 후보,56
분노 조절,55
선별 지급,55
선거 참패,54
패륜 욕설,54
김대중 노무현,54
경선 통과,53
태극기 부대,53
조절 장애,53
이낙연 지지자,53
찢 파리다,52
사면 발언,52
패배 이낙연,52
이재명 데리다,52
경선 패배,52
지지율 급락,52
김진표 당,51
숟가락 얹다,51
이해찬 대표,51
패배 김진표,51
전해철 경선,51
대표 패배,51
언급 필요,50
노 대통령,50
똥파리 언급,50
조국 추미애,50
정청래 의원,49
불륜 패륜,49
민주당 권리,49
기본 소득,49
왜 이재명,49
개혁 언론,48
대권 주자,48
대표 시절,48
혜경궁 분노,47
사칭 혜경궁,47
베 충이,47
떵 파라,47
송 대표,46
욕설 사칭,46
민주 당원,45
성남 시장,45
찢 튜브,44
연이 형,44
이해찬 정계,44
제발 정신,44
유은혜 사퇴,43
못 차리다,43
이낙연 지지,43
보편 지급,43
이재명 욕,43
민주당 정신,43
해골 찬,43
대선 경선,42
김진표 의원,41
프락치 오렌지,41
이낙연 노무현,40
일반 당원,40
엄중 낙,40
왜 이낙연,40
같이 나가다,40
전당 대회,39
주제 파악,39
홍 보비,38
뉴스 공장,38
이해찬 나대지,38
민주당 지지,38
대통령 만들다,38
사법 개혁,37
무상 불륜,37
이낙연 위원장,37
제발 나가다,37
서울 부산,37
추미 애,37
이재명 측근,37
당 게시판,37
개혁 검찰,37
민주당 국회의원,36
다음 대선,36
논문 표절,35
이낙연 아웃,35
찢 무리,34
댓글 달다,34
찢 재명,34
쌍욕 재명,34
이낙연 당,34
남경필 찍다,33
지사 지지자,33
불륜 소송,33
찢 지지자,33
강제 입원,33
형수 쌍욕,33
이낙연 조국,33
발목 잡다,33
정신 병원,33
쓰레기 같다,33
민주당 망하다,32
바퀴벌레 똥,32
정치 신세계,32
대표 선거,32
출신 이재명,32
부 선궁,31
경선 연기,31
서울 시장,31
개혁 후퇴,31
조 지사,31
대통령 지지율,31
이재명 제명,31
박광온 의원,30
이재명 대통령,30
대통령 이낙연,30
게시 글,30
트 체크,30
이재명 지지율,30
민주 시민,30
조 국수호,30
지원금 선별,29
조국 사태,29
김대중 대통령,29
검찰 총장,29
법안 처리,29
경기 지사,29
수박 똥파리,29
민주당 당게,29
적극 지지,29
강성 지지자,28
당 만들다,28
대통령 병,28
정신 승리,28
표 간장,28
후보 경선,28
대통령 지키다,28
욕설 파일,28
지지자 수준,27
정부 여당,27
민주당 대권,27
의미 없다,27
법 사위,27
참 한심,27
변파 리,27
부동산 정책,27
시사 타파,26
적폐 청산,26
조국 가족,26
지지율 높다,26
조 국전,26
추미애 장관,26
다음 총선,26
러시아 백신,26
물 흐리다,26
당원 투표,25
일반 국민,25
장대 발,25
당원 가입,25
강성 당원,25
군사 정권,25
국전 장관,25
자격 없다,25
표 영표,25
이재명 빠,25
똥파리 수박,24
구구절절 옳다,24
민주당 지도부,24
조국 탓,24
고소 고발,24
문재인 정부,24
정권 교체,24
암 덩어리,24
케로로 닷,24
이재명 나오다,24
이낙연 이재명,24
이재명 민주당,24
민주 정부,24
이명박 박근혜,24
당헌 당규,24
정권 연장,24
매드 노브,24
다음 대통령,23
당원 맞다,23
토착 왜구,23
당비 납부,23
간장 정치,23
댓글 부대,23
제발 민주당,23
당원 동지,23
이재명 닮다,23
민주당 내부,23
민주당 나가다,23
이해찬 떠들다,22
검찰 언론,22
경기 동부,22
깨 시민,22
사면 얘기,22
왜 나가다,22
관심 없다,22
민주당 경선,22
근거 없다,22
지사 지지,22
윤리 위,22
패배 원인,22
은퇴 나오다,22
김용민 의원,22
권당 게시판,22
선거 결과,21
노무현 정신,21
호남 비하,21
이재명 대선,21
인간 같다,21
표 구걸,21
처벌 법,21
찌 끄레기,21
김어준 주진우,21
민주당 대통령,21
법 누더기,21
왜 나오다,21
수준 낮다,21
재명 나가다,21
선거 책임,21
다음 선거,21
이재명 탓,21
내년 대선,21
분열 조장,21
총각 사칭,20
쌍욕 파일,20
작전 세력,20
사면 바리,20
정권 미숙,20
이재명 까다,20
재명 같다,20
절대 반대,20
죄명 지지자,20
국회 연설,20
당내 경선,20
대표 후보,20
의리 없다,20
오렌 쥐,20
민주당 대표,20
국민 재난,20
이낙연 국회,20
정책 없다,20
대표 홍영표,20
민주 진영,20
선거 말아먹다,19
언론 플레이,19
정권 정책,19
이해찬 당,19
외곽 지사,19
이낙연 후보,19
선별 지원,19
재명 탈당,19
연설 노무현,19
정치 자영업,19
가망 없다,19
낙선 운동,19
고생 많다,19
민주당 지지율,19
민주당 인사,19
지역 비하,19
무능 미숙,19
도통 령,19
당 지도부,19
기소 중지,19
민주당 탈당,19
갓 재명,19
참여 정부,19
찢 패거리,18
이해찬 민,18
전당 대표,18
민주당 분열,18
촛불 시민,18
미숙 분열,18
지역 화폐,18
리플리 증후군,18
디어 문,18
후원회 장,18
정부 정책,18
정동영 시즌,18
차기 대선,18
반대 누르다,18
낙 연이다,18
차기 대권,18
기본 시리즈,18
서민 정권,18
반 서민,18
송영길 당,18
선거 기간,18
음주운전 검사,17
이재명 패거리,17
입법 왕,17
민주당 망치다,17
오세훈 박형준,17
선거 끝,17
비하 발언,17
비교 불가,17
확증 편향,17
따로 없다,17
이재명 이낙연,17
낙 연씨,17
이낙연 선대,17
수박 수박,17
내부 분열,17
당게 관리자,17
입법 통과,17
홍영표 당,17
한결 같다,17
아주 좋다,17
출당 찬성,16
증거 조작,16
가치관 신념,16
선거 망치다,16
조국 수사,16
보수 언론,16
이낙연 대선,16
명예 훼손,16
이재명 후보,16
신념 판단,16
강성 친문,16
대선 나오다,16
조국 일가,16
공정 경제,16
똥 거품,16
부산 시장,16
이재명 싫다,16
그렇게 좋다,16
동부 연합,16
기본 주택,16
부동산 특위,16
인 장철민,16
오렌지 당원,16
개혁 반대,16
엄중 이낙연,16
개혁 완수,16
증후군 현실,16
언론 검찰,16
여당 대표,16
인격 장애,16
민주당 당,16
민주당 권당,16
한자 리수,16
뱃지 달다,16
가장 중요,16
대호 프로젝트,15
대통령 지지자,15
기분 좋다,15
중앙 위,15
홍영표 비서관,15
이재명 비판,15
정부 공격,15
최순 실,15
이명박 그네,15
이재명 본인,15
전남 곡성,15
김종민 신동근,15
닥터 헬기,15
하루 종일,15
대선 지지율,15
보궐 패배,15
찢 쓰레기,15
반문 짓,15
백원우 노영민,15
똥 냄새,15
보궐 참패,15
외각 지사,15
베 버러지,15
총리 시절,15
손해 배상,15
입법 활동,15
적극 공감,15
비추 누르다,15
지자 체장,15
정통 회장,15
똥파리 운운,15
지방 선거,15
딱 이재명,15
그냥 이재명,15
시장 선거,15
기본 대출,15
민주당 말아먹다,15
이재명 경기도지사,14
주군 닮다,14
후퇴 언론,14
강원도 당,14
조폭 연루,14
거지 같다,14
낙 연아,14
다중 아이디,14
남경필 지지,14
후퇴 사법,14
죄명 지지,14
결혼기념일 축하,14
이재명 찍다,14
쿠 테타,14
곡성 권리,14
하루 이틀,14
정말 한심,14
혜 경군,14
베 회원,14
당 후보,14
온라인 투표,14
유력 대선,14
폭 망하다,14
민주당 간판,14
윤석열 대통령,14
엄중 신중,14
상대 후보,14
소름 끼치다,14
의원 직,14
