,pos_words,count,documents
0,지지,242,"['이번엔 윤석열 문제 있어도 지지한다. 적어도 염치없고 나라 중국에 넘기는 민주당 보단 낫다. 나라 지키려고 윤석열 지지하는 거지 윤석열이 겁나 잘할거 같아서 지지하는 건 아니다.', '윤석열 지지하는 것은 문재앙정권의 오만하고 비리 공정을 바로 잡고자 지지하는 거임 그만큼 썪어빠진 정부라고 국민들이 생각하는데 문재앙측근과 여당은 모르는 건지 미치광이들인지', '정말 이해가 안 되고 궁금한데 윤석렬 지지하는 사람들은 x 파일 내용이 사실이라도 지지하는 건가? 난 이 사람이 어떻게 검찰총장이 됐는지도 신기하고 의아스럽다']"
1,기대,74,"['미애야제발 대선에 나와다오.니가 나오면 밥도 안 묵고 투표장에 갈란다. 니는 구국의 여전사다.니는 더부러에 똥 물을 퍼붓는 여자다.니는 더부러의 대표주자다.미애야기대한데 이.', '제발제발 민주당서 대선후보 당선되서 나외라 대깨문40만빼고 야당 아무나 나와도 득표율 99대 0.5프로 정도 나오게 니깟것들 낮짝 못처들고 다니게 해줄게 다음 대선 기대해', '축하합니다 부탁합시다말을 할 때 쫌 선택적으로 하시고 맞는말이라도 깽판치듯이 하지 마시고좌장답게 정권교체를 위한 그간의 경륜과 경험을 바탕으로 리더쉽 발휘를 기대합니다']"
2,최고,66,"['그러기 위해서 임명권자를 물어뜯었다는 거네 공무원의 정치적 중립이란 말은 교과서에만 있는 말이고 나는 내가 꼴리는 대로 하겠다. 검사스럽네 대한민국의 최고 권력자 검새.', '박근혜든 문재인이든 아무리최고 권력자라도 국민들에게 잘못하면 용서하지 않았던영웅이신 윤석열님이제 국민을 위해 직접 나서셔야할 때가 됐습니다.멀리보고 크게 생각히십시요', '어론과 개검찰이 만든 작품 저런 거도나오면 나도 대선나가고 싶다윤석렬은 검찰밥먹으면서 최고자리까지갔던인간이다 그게 무슨뜻인지 모르는 국민들은 퇴가없다고 봐야지']"
3,진실,62,"['얼마나 의혹이 많으면 기자들이 취재해서 탐사보도를 할까??윤씨는 정치에 입문한다면 모든 의혹들을 국민 앞에 직접 해명해야 할거다. 그것이 진실인지 거짓인지는 국민이 판단할 것임.', '초원 복집.김학의 출금.x파일.등 본질의 위법성이 더 중요한 데 실체적 진실의 위법성은 온데간데 없고 절차적 위법성 만 따지나??? 조국 가족 의혹 사건은 안 그랬잖아???', '반포한강사건은 진실을 파헤치는 유튜버들까지 싸집아 가짜뉴스라 매도하더니 진짜 가짜뉴스 유포하는 유튜버말은 철썩같이 믿은거야? 여당당대표까지?? 정말 내로남불 오진다.']"
4,좋아하다,58,"['이재명 처음에는 좋아했는데 이제는 이재명싫다.심도 깊게보면 자기는 개천에서 용났으면서 남들은 그렇게 하지 말라고 사유재산 털어서 기본수당 어쩌구 저쩌구 내로남불민주당 실태입니다.', '문주당 나팔수나 유튜버가 만든 찌라시가지고 이난리를 치냐? 바둑이 포함 저런 저질공작 하는놈들 강하게 처벌해야 한다. 탐사보도 좋아하네 정치적 목적으로 만든걸 어서 물타기하나?', '윤석열 총장님 좋아했지만 이건 아닌 것 같아요 장모 녹취록도 있고 장관자리 나오는 사람도 강하게 수사했는데 대통령감인데 확실한 검증이 되어야 한다 생각합니다.']"
5,능력,49,"['결국은 문통과 더불만진당이 검증능력이 없다는 것이고 그 안에는 조국과 추미애뿐만 아니라 그 동안 막가파로 임명한 장관들도 능력이 없다는 것을 알면서도 오기로 임명했다는 것이네', '이재명은 한낮 양아치에 불과하다.김부선과 미혼이라며 바람 피우고 형수에게 쌍욕을 해대고 형님을 강제로 정신병원에 입원시키고 포플리즘으로 가득찬 무능력한 인간 쓰레기다.', '증거안되고 x파일을 뿌리네. 지켜봐야 알겠지만 한국 정치의 안좋은 점은 그 사람의 능력보다 막판에 헐뜨기 네거티브에 있다는 점이다. 미래를 보고 미래정치 좀 하자.']"
6,이기다,44,"['윤석열 홍준표 유승민 안철수를 먼저 상대해야 되겠네요당내 대선후보자 검증에서 이긴다면 유튜브나 지면에서 흘러나오는 많은 의혹을 넘어서는 것이나 그렇지 않으면 역사속으로 사라질 수도', '석렬이가 준표 경남기업 후원금에 대해 알까 모를까? 둘이 비리까기 맞장까면 누가 이길까? 그야말로 피바다 일건데 정경심교수 모함으로 드러나면석렬이 징역가는 것 맞지?', '장성철 이 도그버드새기는 47 재보선때 야권에서 이긴걸 존나 깝싸대더만 뭐하는 새긴지? 뭐 윤석열보고 지한테 잘보이라는 거야 뭐야? 장성철이 실망하면 어쩔건데?']"
7,충성,43,"['막말 윤석열은 국회모독죄아닌가? 말투가 조직폭력배 두목이야. 지가 아직도 조직의 두목인줄 아나? 다른 검사들도 조직에 충성하지 윤석열에게는 충성 안한단다', '조직에 충성하고 처가집에충성하는놈 따위가 조국에 헌신하신분 덕을 볼려고 ? 파평윤씨를 더럽히지마라', '이것들은 사람에게 충성하지 않고 검찰우월주의자로서 검찰 조직에만 충성한다는 소리로 들린다.']"
8,축하,41,"['홍 의원님입당축하합니다 고향을두고광야에서 고초가많으셨읍니다.간신갇은김형오와모사꾼김종인때문에홍의원을 비롯해 많은 의원들이 공천잘못으로 낙선했죠.이제심기일전해서 정권교체에 힘을써주세요', '홍준표 복당축하합니다 수성구 의원입니다 이제는 막걸리먹고 동이장들하는 말하지 마시고 천천히 생각하고 작전을 잘짜.말하세요 당신 정책 은 다맞는말입니다 파이팅하시고 당에 힘이돼주시오', '레드홍님 복당 겁나게 격하게 축하 왔쓰게 노역 김종인 처 발려주삼.거시기 하게 막고 옛날 이야기 들려주면서십걱해서 국민의힘 주변 얼씬도 못하게 해요.대통은 윤석열 이다.']"
9,인정,36,"['x파일 반듯이 밝혀야 한다.국민알권리.안밝히면국민질책할것. 정치검찰인정하는 거임? 검찰중립훼손하는 거야. 온국민 앞에 정치검찰스스로 자인하는꼴인거임?준표말처럼x파일 꼭파헤쳐야함.', '1970 80년대도 아니고 아직까지 본인 인정없이 저런 개인 정보를 수집한다는 게 ㅠㅠ국민들은 민주주의 나라에 살고 있다고 생각하는데 아직까지 위대가리들은 아직도 멀었네요 ㅠㅠ', '준스가되도않은 네거티브 하지 말고 니 군비리부터 조사받자니땜에 재학생이 탈락했다. 니는 특혜 다 받아놓고 공정 시부리면 누가 인정하겠니']"
