word,count
불법 사찰,184
윤 총장,179
검찰 총장,133
정권 교체,122
정치 공작,108
공작 정치,101
대선 후보,89
유 튜버,83
당 대표,61
문 재앙,59
윤봉길 의사,55
대선 출마,54
대통령 후보,50
윤석열 총장,45
윤석열 대통령,45
생태 탕,44
출마 선언,40
내부 총질,40
여론 조사,38
대권 도전,36
대권 후보,33
검찰 개혁,32
대선 주자,31
찌 라시,30
탈탈 털다,29
공 수처,28
김대업 사건,28
대권 주자,28
가짜 뉴스,27
차기 대통령,26
기 레기,25
내년 대선,25
여당 대표,23
필요 없다,22
이명 박근혜,22
정부 기관,22
파일 내용,20
윤석열 화이팅,20
법무부 장관,20
이준석 대표,19
최순 실,19
김무성 유승민,19
애 미추,19
정신 차리다,18
서울 시장,18
시장 선거,18
정치 검사,18
선전 선동,18
개인 정보,17
대통령 출마,17
주가 조작,17
홍 의원,17
정권 잡다,17
검찰 출신,17
드루 킹,17
구속 수사,17
법무 장관,16
전수 조사,16
비단 주머니,16
토착 왜구,15
부정 선거,15
국가 기관,15
거짓 선동,15
윤석열 지지,15
차곡차곡 쌓다,15
검찰 공화국,15
검찰 조직,14
병역 비리,14
파일 공개,14
총장 임명,14
좌파 정권,13
카 콜라,13
주사 파,13
못 차리다,13
고소 고발,13
대한민국 국민,13
마누라 장모,12
준표 형,12
대통령 만들다,12
조국 장관,12
정부 여당,12
추미 애,12
윤석열 장모,12
윤석열 죽이기,12
시민 단체,12
윤전 총장,12
추 다르크,12
대권 잡다,12
이명박 박근혜,12
조용히 살다,11
의혹 제기,11
문재인 정권,11
뿌리 뽑다,11
윤석열 지지율,11
부동산 투기,11
조국 추미애,11
여론 조작,11
역대 급,11
가족 비리,11
대한민국 대통령,11
대통령 당선,11
집권 여당,11
홍준표 복당,11
검사 출신,11
파평 윤,11
공정 정의,11
최재형 감사원장,11
정면 돌파,10
다음 대통령,10
사기 사건,10
김부선 화이팅,10
튜 버들,10
파일 없다,10
장 소장,10
송 대표,10
윤석열 파일,10
총각 행세,10
인사 검증,10
판사 사찰,10
홍준표 대통령,10
유트 브,10
윤 의사,10
홍준표 의원,10
황 교활,10
홍 발정,10
대통령 선거,10
부동산 전수,9
힘 지지율,9
총장 청문회,9
북한 원전,9
대통령 자리,9
강 간당,9
감옥 보내다,9
생떼 탕,9
홍준표 유승민,9
윤석열 대선,9
구라 미터,9
장대 업,9
입장 없다,9
유승민 김무성,9
르네상스 호텔,9
바로 세우다,9
대선 나오다,9
무상 연애,9
주제 파악,9
철저히 수사,9
조국 가족,9
조국 수사,9
윤봉길 기념관,8
공안 검사,8
유승민 홍준표,8
가짜 총각,8
수구 꼴통,8
장성철 소장,8
정의 공정,8
짜장 윤,8
정치 경험,8
야권 대선,8
역풍 맞다,8
문 대통령,8
돼지발 정제,8
대선 나가다,8
윤석열 검찰,8
마타 도어,8
황교 활,8
조국 사태,8
민주당 후보,8
적극 지지,8
총장 시절,8
나라 국민,8
다음 대선,8
나라 만들다,8
법 세련,8
정권 바뀌다,8
정보 동의서,8
자유 대한민국,8
비리 수사,8
추미애 장관,8
참 한심,8
박근혜 대통령,8
태극기 부대,8
