word,count
국민의 힘,126
국민의 짐,26
윤석열이 대통령,21
인물이 없다,15
홍 카 콜라,13
파일을 만들다,12
정신 못 차리다,12
대선 출마 선언,11
서울 시장 선거,10
파일의 내용,10
유 튜 버들,9
부동산 전수 조사,9
대선에 나오다,9
나라를 만들다,8
상식이 통하다,8
내용의 진위,8
개인 정보 동의서,8
윤봉길 의사 기념관,7
국민이 판단,7
검찰 총장 출신,7
윤석열이 대권,7
윤석열 검찰 총장,7
힘에 입당,7
능력이 없다,6
국민을 개돼지,6
김무성 보좌관 출신,6
윤석열이 대선,6
국민의 당,6
대권에 도전,6
나라를 구하다,6
국민을 기,6
드루 킹 댓글,6
대한민국의 미래,6
검찰 총장 시절,5
자격이 없다,5
후보로 나오다,5
검찰 총장 임명,5
대선에 출마,5
검찰에 고발,5
콩으로 메주,5
출신이 대통령,5
총장이 대통령,5
총장에 임명,5
정치에 입문,5
고생이 많다,5
정권이 바뀌다,5
인간이 대통령,5
공당의 대표,5
아들 병역 비리,5
이재명이 대통령,5
국 힘 지지율,5
윤석열을 지지,5
국민을 바보,5
나라로 만들다,5
윤로 남불,5
윤 총장 지지율,5
윤 짜장 윤,5
울산 시장 선거,5
야권 대선 주자,5
대권을 잡다,5
