,neg_words,count,documents
0,미루다,115,"['경선 연기 결정 미룬 송영길호 대선 계획표 짜 보고 25일 결론', '경선 연기 놓고 쪼개진 민주 또 결론 못 내고 25일로 미뤘다', '뇌관 경선 일정 결론 못 내린 민주당 지도부다음 주로 미뤄져']"
1,비판,77,"['민주당 문재인 대통령 g7 기사 적다며 언론 때리기.국기 구별 못 하고 예방률 50 안 되는 백신 면담 보도해 달라는 건가? 너무한 것 아닌가 라고 비판하기 전.', '정웅교의 정치분석 이준석 대표 국민호응도 높지만 미숙한 리더십과 정치평론가적 비판 발언으로 윤석열 전 총장 1차 위기 초래', '이낙연 정세균계 경선연기 집단행동 민형배 신뢰 떨어뜨리는 행위 비판']"
2,위기,63,"['정웅교의 정치분석 이준석 대표 국민호응도 높지만 미숙한 리더십과 정치평론가적 비판 발언으로 윤석열 전 총장 1차 위기 초래', '아주 쉬운 뉴스 qa 기후위기의 대안 소형모듈원전smr이 무엇인가요?', '양승조 충남도지사 위기 속 대한민국 미래를 말하다 출판기념회 개최']"
3,어렵다,61,"['후보 간 합의 없으면 연기 어려워 민주당 경선일정 확정 무게', '경선 연기 불가 가닥 대선 주자들 동의 없으면 변경 어려워', '윤석열 x파일 폭로한 장성철 없앨 것.방어 어렵다 판단']"
4,승리,54,"['사 사건건 김형준 한여름에 관심 떨어지는 경선에서 승리하면 실리 있을까 이택수 민주당 국민의힘에 지지율 역전. 9월 경선은 흥행 못할 수도', '대구 찾은 정세균 경선 연기 재차 강조 승리 고민한다면 늦더라도 제대로 해야', '송영길 6.25 71주년인 내일 민주당 대선 승리 첫 단추 채워질 것']"
5,의회,44,"['정세균 전 총리 전북도의회 기자간담회', '전북도의회 찾은 정세균 전 총리', '슬로건 보여주며 답변하는 정세균 전 총리 전주 뉴시스 김얼 기자 정세균 전 총리가 20일 전북 전주시 전북도의회 브리핑룸을 방문해 전라북도 기자회견을 열고 질의에 답변하고 있다. 2021.06.20. pmkeulnewsis.com 뉴시스 2021.06.20 다음뉴스 10301httpv.media.daum.netv202106 201553062 22?fo26ehxegqirpwwmfhznewsmediaarticleeca095ec84b8eab7a026ehxegqirpwwmfhz']"
6,재난,39,"['핫이슈 키워드 5차 재난지원금 윤석열 x 파일 이재명계 vs 반이재명계 경쟁률 14 1 대 1 이상직 국회의원 수당', '브리핑 충남 양승조 충남지사 재난지원금 전국민에 주려면 격려금이라고 해야', '기본소득 코로나발 재난지원금에 탄력농민 농촌 대상 검증 신호탄']"
7,가짜,36,"['정세균 이낙연 이광재 비 이재명계 시동 통큰 양보하길 여긴 가짜약 아닌 진짜약', '이재명 가짜약 팔던 시대 아냐 발언에 정세균 정치인은 말의 품격 중요', '가짜약 팔 텐가 vs 정권재창출 우선경선 연기 여부 두고 파열']"
8,훼손,33,"['잠룡 정면 충돌.이재명이 통 큰 양보해야vs신뢰 훼손은 소탐대실', '경선연기 두고 격돌 통큰 결단 vs 원칙훼손 송영길의 결론은?', '통큰 결단 해야 vs 원칙 훼손 안 돼 경선 연기 두쪽 난']"
9,싸움,27,"['국민은 아무 관심 없는데.민주당 경선 일정 놓고 연일 진흙탕 싸움', '경선연기 폭풍전야의총서 논의 싸움 커질 것', '또 연기? 민주 경선 그들만의 싸움']"
10,떨어지다,26,"['사 사건건 김형준 한여름에 관심 떨어지는 경선에서 승리하면 실리 있을까 이택수 민주당 국민의힘에 지지율 역전. 9월 경선은 흥행 못할 수도', '이재명 경선 연기 외려 내게 유리하지만 당 신뢰는 떨어져', 'x파일 논란탓? 지지율 떨어져 불안한 1위최재형 첫 톱5']"
11,무시,21,"['이재명 만난 김경수 경선 연기론 무시하고 갈 수 있나결론 내야', '이재명 만난 김경수 경선 연기론 무시하고 갈 수 있나.결론 내야 당헌당규 원칙이지만.과거 유연하게 적용된 사례 있어 이재명도 친문.대통령 정책 노선에 동의하느냐가 기준 사람인데 당의 정치적 일정을 구체적으로 이야기하는 건 적절치 않은 것 같다 고 말을 아꼈다. 앞서 이낙연 전 민주당 대표와 정세균 전 국무총리 등은 이대로 는 무난하게 야당에 진다 며 대선 경선 연기의 필요성을 주장했다. 그러나 이 지사는 경선 연기를 요구', '경선 연기 밀리면 끝 팽팽한 긴장감.송영길 장고 끝 결단은 연판장 이어 대리전.경선 연기 놓고 힘겨루기의총 열리면 파국 막말 더 묵과 못해 신경전대선주자 면담한 송영길 현행대로 에 기운 듯 결정을 내린다면 경선 일정 변경의 권한이 당무위원회에 있다는 당헌당규를 정면으로 무시한 비민주적 의사결정이라고 밝혔다. 정세균 캠프 대변인 조승래 의원은 성명서에서 이재명계를 겨냥해 당헌당규에 보장된 자유로운 논의를 매도하고 약장수 탐욕 등 막말']"
